source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes,deduplication_decision,deduplication_review_group,removed_source_record_ids,deduplication_confirmation_status
GS001,1,"Cross -Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017).","C Xin, K Xu",2025,,https://openurl.ebsco.com/contentitem/gcd:193600133?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:193600133&crl=c&jrnl=25790072,journal-article,Journal of Cybersecurity (2579-0072),"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 182041786770434387; cited-by count displayed 5",cross dataset transformer ids with calibration and auc optimization evaluated on nsl kdd unsw nb15 cic ids2017,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS003,3,Few-shot network intrusion detection method based on multi-domain fusion and cross-attention,"C Xu, D Li, Z Liu, J Yang, Q Shen, N Tong",2025,10.1371/journal.pone.0327161,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327161,journal-article,Plos one,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9312811795847718474; cited-by count displayed 8",few shot network intrusion detection method based on multi domain fusion and cross attention,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS004,4,Generative active adaptation for drifting and imbalanced network intrusion detection,"R Gupta, S Liu, R Zhang, X Hu, X Wang…",2025,10.48550/arXiv.2503.03022,https://arxiv.org/abs/2503.03022,posted-content,arXiv preprint arXiv …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 13312417225947295849; cited-by count displayed 18",generative active adaptation for drifting and imbalanced network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS006,6,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5717645215874765075; cited-by count displayed 6; DOI verified from official publisher metadata",dati ids domain adaptation and time series imaging based intrusion detection system for connected autonomous vehicles,DOI_DUP_018,TITLE_DUP_012,,candidate_duplicate,exact DOI candidate with GS022 | normalized-title candidate with GS022,retain_preferred_version,DRG011,GS022,author_confirmed_consensus
GS007,7,Anomaly-based intrusion detection on benchmark datasets for network security: A comprehensive evaluation,"LKS Kumar, SR Nethi, R Uyyala, P Vurubindi…",2026,10.1038/s41598-026-38317-w,https://www.nature.com/articles/s41598-026-38317-w,journal-article,Scientific Reports,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 13603625880129930989; cited-by count displayed 7; verified publication date 2026-03-09",anomaly based intrusion detection on benchmark datasets for network security a comprehensive evaluation,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS008,8,OLIDA-IDS: Online learning with integrated domain adaptation for intrusion detection systems,"J Violos, C Krikas, P Sarantos…",2025,,https://ieeexplore.ieee.org/abstract/document/11431867/,journal-article,… 2025-,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 7930383883692937546; cited-by count displayed 1",olida ids online learning with integrated domain adaptation for intrusion detection systems,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS009,9,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment","AE Mahdaouy, IA Yahia, S Oualil, I Berrada",2026,10.48550/arXiv.2602.05594,https://arxiv.org/abs/2602.05594,posted-content,arXiv preprint arXiv …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9775148401472288101; cited-by count displayed 2; verified arXiv first-submission date 2026-02-05",deep learning for contextualized netflow based network intrusion detection methods data evaluation and deployment,DOI_DUP_023,TITLE_DUP_013,,candidate_duplicate,exact DOI candidate with GS023 | normalized-title candidate with GS023,retain_preferred_version,DRG012,GS023,author_confirmed_consensus
GS010,10,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 3144013056636920633; cited-by count displayed 6",woa sa optimizing nids with enhanced deep learning for zero day attack detection,,TITLE_DUP_025,,candidate_duplicate,normalized-title candidate with GS015,retain_preferred_version,DRG013,GS015,author_confirmed_consensus
GS012,12,Intrusion Detection in Heterogeneous Networks with Domain-Adaptive Multi-Modal Learning,"MU Varghese, Z Taghiyarrenani",2025,10.48550/arXiv.2508.03517,https://arxiv.org/abs/2508.03517,posted-content,arXiv preprint arXiv:2508.03517,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 6518353589483937388; cited-by count displayed 3",intrusion detection in heterogeneous networks with domain adaptive multi modal learning,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS016,16,Unveiling the Generalizability Gap: A Cross-Domain Evaluation of Machine Learning Algorithms for Network Intrusion Detection,"MI Amin, M Shen, SUA Laghari…",2024,,https://ieeexplore.ieee.org/abstract/document/11119949/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; cited-by count displayed 0",unveiling the generalizability gap a cross domain evaluation of machine learning algorithms for network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
