review_row_id,source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,candidate_basis,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,matched_record_ids,agent_assessment,agent_preferred_record_id,agent_recommended_decision,agent_recommended_reason,agent_evidence,agent_evidence_urls,review_group_id,review_group_members,assigned_reviewer,kll_decision,kll_preferred_record_id,kll_reason,kss_decision,kss_preferred_record_id,kss_reason,consensus_decision,consensus_retained_record_id,consensus_reason,adjudication_status
DR001,GS051,52,Neuro-symbolic integration for open set recognition in network intrusion detection,"A Bizzarri, CE Yu, B Jalaian, F Riguzzi…",2024,10.1007/978-3-031-80607-0_5,https://link.springer.com/chapter/10.1007/978-3-031-80607-0_5,book-chapter,…Conference of the Italian…,exact_doi_and_normalized_title,DOI_DUP_001,TITLE_DUP_020,,SL009,same_publication_record_by_exact_doi,SL009,remove_as_duplicate,This row represents the same publication as retained record SL009.,"The records carry the same DOI 10.1007/978-3-031-80607-0_5 and therefore represent the same publication. Crossref publisher metadata records online publication on 1 January 2025 and a 2025 print year; the DOI metadata record was created on 31 December 2024. This explains the 2024 and 2025 source-year labels, and the final publication year is 2025.",https://doi.org/10.1007/978-3-031-80607-0_5,DRG017,GS051; SL009,KLL,remove_as_duplicate,SL009,Confirmed by KLL following the validated duplicate recommendation. This row represents the same publication as retained record SL009.,not_assigned,,,remove_as_duplicate,SL009,KLL and KSS confirmed all validated duplicate recommendations. This row represents the same publication as retained record SL009.,not_required_consensus_reached
DR002,SL009,11,Neuro-Symbolic Integration for Open Set Recognition in Network Intrusion Detection,Bizzarri Alice; Yu Chung-En; Jalaian Brian; Riguzzi Fabrizio; Bastian Nathaniel D.,2025,10.1007/978-3-031-80607-0_5,https://link.springer.com/chapter/10.1007/978-3-031-80607-0_5,proceedings-article,International Conference of the Italian Association for Artificial Intelligence,exact_doi_and_normalized_title,DOI_DUP_001,TITLE_DUP_020,,GS051,same_publication_record_by_exact_doi,SL009,retain_preferred_version,Prefers the native SpringerLink record and its verified 2025 final-publication metadata over the Google Scholar record.,"The records carry the same DOI 10.1007/978-3-031-80607-0_5 and therefore represent the same publication. Crossref publisher metadata records online publication on 1 January 2025 and a 2025 print year; the DOI metadata record was created on 31 December 2024. This explains the 2024 and 2025 source-year labels, and the final publication year is 2025.",https://doi.org/10.1007/978-3-031-80607-0_5,DRG017,GS051; SL009,KLL,retain_preferred_version,SL009,Confirmed by KLL following the validated duplicate recommendation. Prefers the native SpringerLink record and its verified 2025 final-publication metadata over the Google Scholar record.,not_assigned,,,retain_preferred_version,SL009,KLL and KSS confirmed all validated duplicate recommendations. Prefers the native SpringerLink record and its verified 2025 final-publication metadata over the Google Scholar record.,not_required_consensus_reached
DR003,GS005,5,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,"M Pawlicki, S Szelest, R Kozik, M Choraś",2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,book-chapter,International Conference on …,exact_doi_and_normalized_title,DOI_DUP_002,TITLE_DUP_022,,SL008,same_publication_record_by_exact_doi,SL008,remove_as_duplicate,This row represents the same publication as retained record SL008.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/978-3-032-00644-8_18,DRG010,GS005; SL008,KSS,not_assigned,,,remove_as_duplicate,SL008,Confirmed by KSS following the validated duplicate recommendation. This row represents the same publication as retained record SL008.,remove_as_duplicate,SL008,KLL and KSS confirmed all validated duplicate recommendations. This row represents the same publication as retained record SL008.,not_required_consensus_reached
DR004,SL008,10,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,Pawlicki Marek; Szelest Sebastian; Kozik Rafal; Choraś Michał,2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,proceedings-article,International Conference on Availability Reliability and Security,exact_doi_and_normalized_title,DOI_DUP_002,TITLE_DUP_022,,GS005,same_publication_record_by_exact_doi,SL008,retain_preferred_version,Prefers the native SpringerLink record over the Google Scholar record.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/978-3-032-00644-8_18,DRG010,GS005; SL008,KSS,not_assigned,,,retain_preferred_version,SL008,Confirmed by KSS following the validated duplicate recommendation. Prefers the native SpringerLink record over the Google Scholar record.,retain_preferred_version,SL008,KLL and KSS confirmed all validated duplicate recommendations. Prefers the native SpringerLink record over the Google Scholar record.,not_required_consensus_reached
DR005,GS100,102,Enhancing network intrusion detection systems with combined network and host traffic features using deep learning : Deep learning and IoT perspective,"ESA Alars, S Kurnaz",2024,10.1007/s10791-024-09480-3,https://link.springer.com/article/10.1007/s10791-024-09480-3,journal-article,Discover Computing,exact_doi_and_normalized_title,DOI_DUP_003,TITLE_DUP_016,,SL004,same_publication_record_by_exact_doi,SL004,remove_as_duplicate,This row represents the same publication as retained record SL004.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/s10791-024-09480-3,DRG024,GS100; SL004,KSS,not_assigned,,,remove_as_duplicate,SL004,Confirmed by KSS following the validated duplicate recommendation. This row represents the same publication as retained record SL004.,remove_as_duplicate,SL004,KLL and KSS confirmed all validated duplicate recommendations. This row represents the same publication as retained record SL004.,not_required_consensus_reached
DR006,SL004,5,Enhancing network intrusion detection systems with combined network and host traffic features using deep learning: deep learning and IoT perspective,Alars Estabraq Saleem Abduljabbar; Kurnaz Sefer,2024,10.1007/s10791-024-09480-3,https://link.springer.com/article/10.1007/s10791-024-09480-3,journal-article,Discover Computing,exact_doi_and_normalized_title,DOI_DUP_003,TITLE_DUP_016,,GS100,same_publication_record_by_exact_doi,SL004,retain_preferred_version,Prefers the native SpringerLink record over the Google Scholar record.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/s10791-024-09480-3,DRG024,GS100; SL004,KSS,not_assigned,,,retain_preferred_version,SL004,Confirmed by KSS following the validated duplicate recommendation. Prefers the native SpringerLink record over the Google Scholar record.,retain_preferred_version,SL004,KLL and KSS confirmed all validated duplicate recommendations. Prefers the native SpringerLink record over the Google Scholar record.,not_required_consensus_reached
DR007,CR034,37,NIDS-CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,Vivek Kumar; Kamal Kumar; Maheep Singh,2024,10.1007/s13042-024-02506-8,https://doi.org/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning and Cybernetics,exact_doi_and_normalized_title,DOI_DUP_004,TITLE_DUP_021,,GS020,same_publication_record_by_exact_doi,CR034,retain_preferred_version,"Prefers the structured Crossref record, which preserves the verified online-publication date, over the Google Scholar record.","The records carry the same DOI 10.1007/s13042-024-02506-8 and therefore represent the same publication. Crossref publisher metadata records online publication on 28 December 2024 and print publication in August 2025, which explains the 2024 and 2025 source-year labels. The year difference does not indicate a distinct paper.",https://doi.org/10.1007/s13042-024-02506-8,DRG007,CR034; GS020,KLL,retain_preferred_version,CR034,"Confirmed by KLL following the validated duplicate recommendation. Prefers the structured Crossref record, which preserves the verified online-publication date, over the Google Scholar record.",not_assigned,,,retain_preferred_version,CR034,"KLL and KSS confirmed all validated duplicate recommendations. Prefers the structured Crossref record, which preserves the verified online-publication date, over the Google Scholar record.",not_required_consensus_reached
DR008,GS020,20,NIDS -CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,"V Kumar, K Kumar, M Singh",2025,10.1007/s13042-024-02506-8,https://link.springer.com/article/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning…,exact_doi_and_normalized_title,DOI_DUP_004,TITLE_DUP_021,,CR034,same_publication_record_by_exact_doi,CR034,remove_as_duplicate,This row represents the same publication as retained record CR034.,"The records carry the same DOI 10.1007/s13042-024-02506-8 and therefore represent the same publication. Crossref publisher metadata records online publication on 28 December 2024 and print publication in August 2025, which explains the 2024 and 2025 source-year labels. The year difference does not indicate a distinct paper.",https://doi.org/10.1007/s13042-024-02506-8,DRG007,CR034; GS020,KLL,remove_as_duplicate,CR034,Confirmed by KLL following the validated duplicate recommendation. This row represents the same publication as retained record CR034.,not_assigned,,,remove_as_duplicate,CR034,KLL and KSS confirmed all validated duplicate recommendations. This row represents the same publication as retained record CR034.,not_required_consensus_reached
DR009,GS067,69,Design and validation of a deep learning -based network intrusion detection algorithm,"W Dai, Y Liu, Q Diao",2026,10.1007/s44163-026-00958-1,https://link.springer.com/article/10.1007/s44163-026-00958-1,journal-article,Discover Artificial Intelligence,exact_doi_and_normalized_title,DOI_DUP_005,TITLE_DUP_014,,SL002,same_publication_record_by_exact_doi,SL002,remove_as_duplicate,This row represents the same publication as retained record SL002.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/s44163-026-00958-1,DRG021,GS067; SL002,KLL,remove_as_duplicate,SL002,Confirmed by KLL following the validated duplicate recommendation. This row represents the same publication as retained record SL002.,not_assigned,,,remove_as_duplicate,SL002,KLL and KSS confirmed all validated duplicate recommendations. This row represents the same publication as retained record SL002.,not_required_consensus_reached
DR010,SL002,2,Design and validation of a deep learning-based network intrusion detection algorithm,Dai Wanchang; Liu Yingfang; Diao Qi,2026,10.1007/s44163-026-00958-1,https://link.springer.com/article/10.1007/s44163-026-00958-1,journal-article,Discover Artificial Intelligence,exact_doi_and_normalized_title,DOI_DUP_005,TITLE_DUP_014,,GS067,same_publication_record_by_exact_doi,SL002,retain_preferred_version,Prefers the native SpringerLink record over the Google Scholar record.,"Matched records carry the same DOI and therefore represent the same publication. The canonical record is selected separately using the documented source-priority and metadata-completeness rule, subject to author confirmation.",https://doi.org/10.1007/s44163-026-00958-1,DRG021,GS067; SL002,KLL,retain_preferred_version,SL002,Confirmed by KLL following the validated duplicate recommendation. Prefers the native SpringerLink record over the Google Scholar record.,not_assigned,,,retain_preferred_version,SL002,KLL and KSS confirmed all validated duplicate recommendations. Prefers the native SpringerLink record over the Google Scholar record.,not_required_consensus_reached
