full_text_row_id,screening_row_id,source_record_id,title,authors,year,doi,url,record_type,venue,title_abstract_final_decision,title_abstract_final_reason,title_abstract_reviewer,agent_eligibility_signals,assigned_reviewer
FT001,TA004,SL008,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,Pawlicki Marek; Szelest Sebastian; Kozik Rafal; Choraś Michał,2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,proceedings-article,International Conference on Availability Reliability and Security,include_for_full_text,,KSS,cross_dataset_or_domain_shift,KSS
FT002,TA005,SD002,AIS-NIDS: An intelligent and self-sustaining network intrusion detection system,Yasir Ali Farrukh; Syed Wali; Irfan Khan; Nathaniel D. Bastian,2024,10.1016/j.cose.2024.103982,https://www.sciencedirect.com/science/article/pii/S0167404824002876,journal-article,Computers & Security,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT003,TA008,GS010,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering …,include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
FT004,TA009,SD016,TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment,"Wu, Jiashu and Wang, Yang",2026,10.1016/j.eswa.2025.129543,https://doi.org/10.1016/j.eswa.2025.129543,journal-article,Expert Systems with Applications,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT005,TA010,SL007,HEN: a novel hybrid explainable neural network based framework for robust network intrusion detection,Wei Wei; Chen Sijin; Chen Cen; Wang Heshi; Liu Jing; Cheng Zhongyao; Zou Xiaofeng,2024,10.1007/s11432-023-4067-x,https://link.springer.com/article/10.1007/s11432-023-4067-x,journal-article,Science China Information Sciences,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT006,TA013,IX003,Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study,Marco Cantone; Claudio Marrocco; Alessandro Bria,2024,10.1109/access.2024.3472907,https://ieeexplore.ieee.org/document/10704637,journal-article,IEEE Access,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT007,TA015,SL001,NIDS-APNHA: a transfer learning based network intrusion detection system with alert prioritization and network harmony analysis,Sherin R. C. Jeyavim; Parkavi K.,2025,10.1007/s10586-025-05780-5,https://link.springer.com/article/10.1007/s10586-025-05780-5,journal-article,Cluster Computing,include_for_full_text,,KLL,cross_dataset_or_domain_shift;open_set_or_unseen_attack,KLL
FT008,TA016,CR008,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,George Thamer Francis; Abdulrahman Gashut; Mohanad Alayedi; Malek Malkawi,2026,10.1109/ojcoms.2026.3677692,https://doi.org/10.1109/ojcoms.2026.3677692,journal-article,IEEE Open Journal of the Communications Society,include_for_full_text,,KSS,cross_dataset_or_domain_shift,KSS
FT009,TA017,SD012,TICPS: A trustworthy collaborative intrusion detection framework for industrial cyber-physical systems,"Zhu, Lingzi and Zhao, Bo and Li, Weidong and Wang, Yixuan and An, Yang",2024,10.1016/j.adhoc.2024.103517,https://doi.org/10.1016/j.adhoc.2024.103517,journal-article,Ad Hoc Networks,include_for_full_text,,KLL,deployment_adaptation_or_realism,KLL
FT010,TA018,GS045,A privacy-preserving graph neural network for network intrusion detection,"X Pei, X Deng, S Tian, P Jiang…",2024,,https://ieeexplore.ieee.org/abstract/document/10568382/,journal-article,IEEE Transactions on…,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT011,TA019,SD014,Multi-source refined adversarial domain adaptation with transfer complementarity infusion for IoT intrusion detection under limited samples,"Li, Kehong and Ma, Wengang and Duan, Huawei and Xie, Han",2024,10.1016/j.eswa.2024.124352,https://doi.org/10.1016/j.eswa.2024.124352,journal-article,Expert Systems with Applications,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT012,TA022,CR034,NIDS-CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,Vivek Kumar; Kamal Kumar; Maheep Singh,2024,10.1007/s13042-024-02506-8,https://doi.org/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning and Cybernetics,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT013,TA023,CR004,Federated learning-based anomaly detection for zero-day attack prevention in 6G network slices,Iftikhar Rasheed; Hala Mostafa,2025,10.1016/j.comnet.2025.111376,https://doi.org/10.1016/j.comnet.2025.111376,journal-article,Computer Networks,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT014,TA024,IX012,Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems,"Di Monda, Davide and Montieri, Antonio and Persico, Valerio and Voria, Pasquale and De Ieso, Matteo and Pescapè, Antonio",2024,10.1109/ojcoms.2024.3481895,https://doi.org/10.1109/OJCOMS.2024.3481895,journal-article,IEEE Open Journal of the Communications Society,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT015,TA028,GS039,Heterogeneous network intrusion detection via domain adaptation in IoT environment,"J Zhang, Y Li, L Zhang",2025,10.1002/itl2.531,https://onlinelibrary.wiley.com/doi/abs/10.1002/itl2.531,journal-article,Internet Technology Letters,include_for_full_text,,KSS,cross_dataset_or_domain_shift,KSS
FT016,TA030,CR037,Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification,"Talpini, Jacopo and Sartori, Fabio and Savi, Marco",2024,10.1007/s40860-024-00238-8,https://doi.org/10.1007/s40860-024-00238-8,journal-article,Journal of Reliable Intelligent Environments,include_for_full_text,,KSS,open_set_or_unseen_attack;calibration_uncertainty_ood_or_confidence,KSS
FT017,TA031,GS026,A multi-agent adaptive deep learning framework for online intrusion detection,"M Soltani, K Khajavi, M Jafari Siavoshani, AH Jahangir",2024,10.1186/s42400-023-00199-0,https://link.springer.com/article/10.1186/s42400-023-00199-0,journal-article,Cybersecurity,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT018,TA033,GS044,ADAP-GNN: Adaptive property-aware graph neural network for intrusion detection in IoT networks,"M Termos, Z Ghalmane, A Fadlallah, A Jaber…",2026,10.1016/j.compeleceng.2026.111051,https://www.sciencedirect.com/science/article/pii/S0045790626001230,journal-article,Computers and…,include_for_full_text,,KLL,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KLL
