scope,record_id,source,title,doi,publication_or_availability_date,evidence_basis,evidence_url,cutoff_status,notes
search,GS007,Google Scholar,Anomaly-based intrusion detection on benchmark datasets for network security: A comprehensive evaluation,10.1038/s41598-026-38317-w,2026-03-09,publisher publication date,https://www.nature.com/articles/s41598-026-38317-w,VERIFIED_BEFORE_CUTOFF,
search,GS009,Google Scholar,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment",10.48550/arXiv.2602.05594,2026-02-05,arXiv first-submission date,https://arxiv.org/abs/2602.05594,VERIFIED_BEFORE_CUTOFF,Posted content
search,GS023,Google Scholar,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment",10.48550/arXiv.2602.05594,2026-02-05,arXiv first-submission date,https://arxiv.org/abs/2602.05594,VERIFIED_BEFORE_CUTOFF,Posted content
search,GS028,Google Scholar,A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things,10.1109/jiot.2026.3653672,2026-01-13,IEEE date of publication,https://ieeexplore.ieee.org/document/11348114,VERIFIED_BEFORE_CUTOFF,
search,GS044,Google Scholar,ADAP-GNN: Adaptive property-aware graph neural network for intrusion detection in IoT networks,10.1016/j.compeleceng.2026.111051,2026-02-16,online indexing date corroborated by Crossref DOI creation on 2026-02-17,https://www.scilit.com/publications/e37515aae449ad13a469abc2bd6c0fd5,VERIFIED_BEFORE_CUTOFF,"Volume 133 has a May 2026 issue date, but the article was available online before the cutoff"
search,GS048,Google Scholar,Evaluation of Anomaly-based Network Intrusion Detection Systems with Unclean Training Data for Low-rate Attack Detection,10.3390/jcp6010014,2026-01-06,publisher publication date,https://www.mdpi.com/2624-800X/6/1/14,VERIFIED_BEFORE_CUTOFF,
search,GS056,Google Scholar,Optimizing intrusion detection using a hybrid CNN LSTM deep learning framework on the NSL KDD dataset,10.1007/s10791-026-10056-6,2026-04-03,publisher publication date,https://link.springer.com/article/10.1007/s10791-026-10056-6,VERIFIED_BEFORE_CUTOFF,
search,GS060,Google Scholar,Adaptive Decision-Level Intrusion Detection for Known and Zero -Day Attacks,10.3390/network6020023,2026-04-09,publisher publication date,https://www.mdpi.com/2673-8732/6/2/23,VERIFIED_BEFORE_CUTOFF,
search,GS067,Google Scholar,Design and validation of a deep learning -based network intrusion detection algorithm,10.1007/s44163-026-00958-1,2026-02-22,publisher publication date,https://link.springer.com/article/10.1007/s44163-026-00958-1,VERIFIED_BEFORE_CUTOFF,
search,GS076,Google Scholar,A novel contrastive loss for zero -day network intrusion detection,10.1109/tnsm.2026.3652529,2026-01-12,IEEE date of publication,https://ieeexplore.ieee.org/document/11340750,VERIFIED_BEFORE_CUTOFF,
search,GS101,Google Scholar,NIDS -β*: an explainable large language based framework for contextual intrusion resilience in network security,10.3389/frai.2026.1746661,2026-03-16,publisher publication date,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1746661/full,VERIFIED_BEFORE_CUTOFF,
search,CR002,Crossref,Machine Learning-Based Network Intrusion Detection System (NIDS),10.36227/techrxiv.176834492.21643927/v1,2026-01-13,Crossref posted-content publication date,https://doi.org/10.36227/techrxiv.176834492.21643927/v1,VERIFIED_BEFORE_CUTOFF,Posted content
search,CR003,Crossref,Deep Continual Learning Framework for Zero-Day Network Intrusion Detection Under Concept Drift,10.2139/ssrn.6538249,2026-04-07,Crossref posted-content DOI creation date,https://doi.org/10.2139/ssrn.6538249,VERIFIED_BEFORE_CUTOFF,Posted content
search,CR008,Crossref,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,10.1109/ojcoms.2026.3677692,2026-03-25,IEEE date of publication,https://ieeexplore.ieee.org/document/11456054,VERIFIED_BEFORE_CUTOFF,
search,CR030,Crossref,Adaptive Decision-Level Intrusion Detection for Known and Zero-Day Attacks,10.3390/network6020023,2026-04-09,publisher publication date,https://www.mdpi.com/2673-8732/6/2/23,VERIFIED_BEFORE_CUTOFF,
search,SL002,SpringerLink,Design and validation of a deep learning-based network intrusion detection algorithm,10.1007/s44163-026-00958-1,2026-02-22,publisher publication date,https://link.springer.com/article/10.1007/s44163-026-00958-1,VERIFIED_BEFORE_CUTOFF,
search,SL005,SpringerLink,A minimalistic yet effective domain adaptation strategy for IoMT network intrusion detection,10.1007/s43926-026-00288-9,2026-02-09,publisher publication date,https://link.springer.com/article/10.1007/s43926-026-00288-9,VERIFIED_BEFORE_CUTOFF,
study_inventory,R5,manuscript inventory,Dataset-centric evaluation of federated intrusion detection models in IoT networks,10.1038/s41598-025-32567-w,2026-01-16,publisher publication date,https://www.nature.com/articles/s41598-025-32567-w,VERIFIED_BEFORE_CUTOFF,Version of record 2026-01-21
study_inventory,R9,manuscript inventory,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security",10.1038/s41598-025-31025-x,2025-12-07,publisher publication date,https://www.nature.com/articles/s41598-025-31025-x,VERIFIED_BEFORE_CUTOFF,Version of record 2026-01-12
study_inventory,R11,manuscript inventory,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,10.3390/fi18040194,2026-04-02,publisher publication date,https://www.mdpi.com/1999-5903/18/4/194,VERIFIED_BEFORE_CUTOFF,
study_inventory,R12,manuscript inventory,TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment,10.1016/j.eswa.2025.129543,2025-09-02,online availability date recorded in the full text and Crossref DOI creation date,https://doi.org/10.1016/j.eswa.2025.129543,VERIFIED_BEFORE_CUTOFF,March 2026 issue
study_inventory,R29,manuscript inventory,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,10.1109/OJCOMS.2026.3677692,2026-03-25,IEEE date of publication,https://ieeexplore.ieee.org/document/11456054,VERIFIED_BEFORE_CUTOFF,
study_inventory,R35,manuscript inventory,"A transfer-aware, deployment-oriented evaluation framework for NetFlow-based intrusion detection systems (TAN-IDS)",10.1371/journal.pone.0346801,2026-04-08,publisher publication date,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346801,VERIFIED_BEFORE_CUTOFF,
search,CR035,Crossref,Dataset-centric evaluation of federated intrusion detection models in IoT networks,10.1038/s41598-025-32567-w,2026-01-16,publisher publication date,https://www.nature.com/articles/s41598-025-32567-w,VERIFIED_BEFORE_CUTOFF,Targeted corpus-alignment update for manuscript paper R5; Version of record 2026-01-21
search,CR032,Crossref,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security",10.1038/s41598-025-31025-x,2025-12-07,publisher publication date,https://www.nature.com/articles/s41598-025-31025-x,VERIFIED_BEFORE_CUTOFF,Targeted corpus-alignment update for manuscript paper R9; Version of record 2026-01-12
search,CR031,Crossref,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,10.3390/fi18040194,2026-04-02,publisher publication date,https://www.mdpi.com/1999-5903/18/4/194,VERIFIED_BEFORE_CUTOFF,Targeted corpus-alignment update for manuscript paper R11; 
search,SD016,ScienceDirect,TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment,10.1016/j.eswa.2025.129543,2025-09-02,online availability date recorded in the full text and Crossref DOI creation date,https://doi.org/10.1016/j.eswa.2025.129543,VERIFIED_BEFORE_CUTOFF,Targeted corpus-alignment update for manuscript paper R12; March 2026 issue
