source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS001,1,"Cross -Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017).","C Xin, K Xu",2025,,https://openurl.ebsco.com/contentitem/gcd:193600133?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:193600133&crl=c&jrnl=25790072,journal-article,Journal of Cybersecurity (2579-0072),cross dataset transformer ids with calibration and auc optimization evaluated on nsl kdd unsw nb15 cic ids2017,,,,no_automatic_match,
GS002,2,A sequential deep learning framework for a robust and resilient network intrusion detection system,"S Hore, J Ghadermazi, A Shah, ND Bastian",2024,10.1016/j.cose.2024.103928,https://www.sciencedirect.com/science/article/pii/S0167404824002311,journal-article,Computers & Security,a sequential deep learning framework for a robust and resilient network intrusion detection system,DOI_DUP_007,TITLE_DUP_004,,candidate_duplicate,exact DOI candidate with SD003 | normalized-title candidate with SD003
GS003,3,Few-shot network intrusion detection method based on multi-domain fusion and cross-attention,"C Xu, D Li, Z Liu, J Yang, Q Shen, N Tong",2025,10.1371/journal.pone.0327161,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327161,journal-article,Plos one,few shot network intrusion detection method based on multi domain fusion and cross attention,,,,no_automatic_match,
GS004,4,Generative active adaptation for drifting and imbalanced network intrusion detection,"R Gupta, S Liu, R Zhang, X Hu, X Wang…",2025,10.48550/arXiv.2503.03022,https://arxiv.org/abs/2503.03022,posted-content,arXiv preprint arXiv …,generative active adaptation for drifting and imbalanced network intrusion detection,,,,no_automatic_match,
GS005,5,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,"M Pawlicki, S Szelest, R Kozik, M Choraś",2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,book-chapter,International Conference on …,shap insights into domain adaptation in netflow based network intrusion detection powered by deep learning,DOI_DUP_002,TITLE_DUP_022,,candidate_duplicate,exact DOI candidate with SL008 | normalized-title candidate with SL008
GS006,6,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on …,dati ids domain adaptation and time series imaging based intrusion detection system for connected autonomous vehicles,DOI_DUP_018,TITLE_DUP_012,,candidate_duplicate,exact DOI candidate with GS022 | normalized-title candidate with GS022
GS007,7,Anomaly-based intrusion detection on benchmark datasets for network security: A comprehensive evaluation,"LKS Kumar, SR Nethi, R Uyyala, P Vurubindi…",2026,10.1038/s41598-026-38317-w,https://www.nature.com/articles/s41598-026-38317-w,journal-article,Scientific Reports,anomaly based intrusion detection on benchmark datasets for network security a comprehensive evaluation,,,,no_automatic_match,
GS008,8,OLIDA-IDS: Online learning with integrated domain adaptation for intrusion detection systems,"J Violos, C Krikas, P Sarantos…",2025,,https://ieeexplore.ieee.org/abstract/document/11431867/,journal-article,… 2025-,olida ids online learning with integrated domain adaptation for intrusion detection systems,,,,no_automatic_match,
GS009,9,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment","AE Mahdaouy, IA Yahia, S Oualil, I Berrada",2026,10.48550/arXiv.2602.05594,https://arxiv.org/abs/2602.05594,posted-content,arXiv preprint arXiv …,deep learning for contextualized netflow based network intrusion detection methods data evaluation and deployment,DOI_DUP_023,TITLE_DUP_013,,candidate_duplicate,exact DOI candidate with GS023 | normalized-title candidate with GS023
GS010,10,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering …,woa sa optimizing nids with enhanced deep learning for zero day attack detection,,TITLE_DUP_025,,candidate_duplicate,normalized-title candidate with GS015
