record_id,result_rank,title,authors,year,doi,url,duplicate_of,deduplication_decision,title_abstract_decision,full_text_decision,exclusion_reason,final_status,primary_selection_group,full_text_inclusion_reason,selection_boundary,scope_exception,selection_evidence_source,notes
R1,,Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study,"Cantone, Marco and Marrocco, Claudio and Bria, Alessandro",2024,10.1109/ACCESS.2024.3472907,https://doi.org/10.1109/ACCESS.2024.3472907,,retained,include,include,,included_empirical,cross-dataset generalization,Direct empirical evidence that strong within-dataset NIDS results can collapse when training and testing use different network datasets.,"The evaluated classifiers are conventional machine-learning models, so this paper is retained as a cross-dataset benchmark anchor rather than as deep-model performance evidence.",non_dl_empirical_benchmark,paper_text/R1.txt,Original per-source assignment and result rank were not retained
R2,,Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification,"Talpini, Jacopo and Sartori, Fabio and Savi, Marco",2024,10.1007/s40860-024-00238-8,https://doi.org/10.1007/s40860-024-00238-8,,retained,include,include,,included_empirical,reliability,"Evaluates uncertainty-aware NIDS, including a Bayesian neural model, for overconfidence, out-of-distribution traffic, and unknown-class handling.","It is a reliability and OoD anchor, not a cross-dataset deployment study.",,paper_text/R2.txt,Original per-source assignment and result rank were not retained
R4,,"Cross-Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017)","Xin, Chaonan and Xu, Keqing",2025,10.32604/jcs.2025.071627,https://doi.org/10.32604/jcs.2025.071627,,retained,include,include,,included_empirical,cross-dataset generalization,Provides rare joint evidence on Transformer-based cross-dataset NIDS performance and probability calibration.,The study remains closed-set and does not test a complete three-front deployment protocol.,,paper_text/R4.txt,Original per-source assignment and result rank were not retained
R5,,Dataset-centric evaluation of federated intrusion detection models in IoT networks,"Bilal, Muhammad Ahmad and Ul Islam, Ihtesham and Idrees, Sarmad and Qasim, Muhammad and Khan, Muhammad Junaid and Khan, Jaleed",2026,10.1038/s41598-025-32567-w,https://doi.org/10.1038/s41598-025-32567-w,,retained,include,include,,included_empirical,deployment adaptation or realism,"Tests LSTM and Transformer federated IDS models under in-domain, cross-dataset, and combined multi-dataset conditions with heterogeneous clients.",The multi-dataset federation uses data from participating environments and is not source-only deployment to an unseen target.,,paper_text/R5.txt,Original per-source assignment and result rank were not retained
R6,,A novel open set Energy-based Flow Classifier for Network Intrusion Detection,"Souza, Manuela M.C. and Pontes, Camila T. and Gondim, João J.C. and Garcia, Luís P.F. and DaSilva, Luiz and Cavalcante, Eduardo F.M. and Marotta, Marcelo A.",2025,10.1016/j.cose.2025.104569,https://doi.org/10.1016/j.cose.2025.104569,,retained,include,include,,included_empirical,open-set recognition,Implements a genuine multiclass open-set NIDS decision with an explicit suspicious outcome when no known traffic class fits.,"The energy-based flow classifier is statistical rather than deep learning, so it is retained as open-set method and comparator evidence.",non_dl_open_set_method_context,paper_text/R6.txt,Original per-source assignment and result rank were not retained
R7,,Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition,"Fang, Jun and Xie, Cunxiang",2025,10.1038/s41598-025-01084-1,https://doi.org/10.1038/s41598-025-01084-1,,retained,include,include,,included_empirical,open-set recognition,Combines unsupervised representation learning with OpenMax-style recognition to detect unknown intrusion traffic rather than forcing every flow into a known class.,Its main evaluation is a within-dataset open-set design rather than cross-dataset deployment.,,paper_text/R7.txt,Original per-source assignment and result rank were not retained
R9,,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","Mazroa, Alanoud Al",2026,10.1038/s41598-025-31025-x,https://doi.org/10.1038/s41598-025-31025-x,,retained,include,include,,included_empirical,deployment adaptation or realism,"Combines cross-domain stress, adversarial hardening, explainability, federated aggregation, continual replay, and device-oriented evaluation in one IIoT pipeline.","It supports broad deployment realism but does not provide calibration, uncertainty, or abstention evidence.",,paper_text/R9.txt,Original per-source assignment and result rank were not retained
R10,,Open Set Dandelion Network for IoT Intrusion Detection,"Wu, Jiashu and Dai, Hao and Kent, Kenneth B. and Yen, Jerome and Xu, Chengzhong and Wang, Yang",2024,10.1145/3639822,https://doi.org/10.1145/3639822,,retained,include,include,,included_empirical,open-set recognition,Jointly studies open-set unknown-intrusion handling and domain adaptation across heterogeneous IoT tasks.,"The method uses target-domain adaptation, so it is not equivalent to source-only deployment on an unseen network.",,paper_text/R10.txt,Original per-source assignment and result rank were not retained
R11,,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,"Elangovan, Rajesh and Parthasarathy, Durga Devi and Jawahar, M. and Kaliyaperumal, Prabu and Balusamy, Balamurugan and Yogarayan, Sumendra and Venkatesan, Vivek",2026,10.3390/fi18040194,https://doi.org/10.3390/fi18040194,,retained,include,include,,included_empirical,cross-dataset generalization,Directly evaluates temporal and network-domain shift and shows how IDS performance and benign false alarms change in future-internet transfer settings.,It is an evaluation study with mixed model families and does not test open-set recognition or confidence reliability.,,paper_text/R11.txt,Original per-source assignment and result rank were not retained
R12,,TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment,"Wu, Jiashu and Wang, Yang",2026,10.1016/j.eswa.2025.129543,https://doi.org/10.1016/j.eswa.2025.129543,,retained,include,include,,included_empirical,cross-dataset generalization,"Provides a verified heterogeneous IoT benchmark for comparing multiple domain-adaptation families, including open-set domain adaptation.","TriHID is an evaluation dataset and protocol resource, not a detector architecture.",evaluation_resource_not_detector,paper_text/R12.txt,Original per-source assignment and result rank were not retained
R13,,Towards trustworthy cybersecurity operations using Bayesian Deep Learning to improve uncertainty quantification of anomaly detection,"Yang, Tengfei and Qiao, Yuansong and Lee, Brian",2024,10.1016/j.cose.2024.103909,https://doi.org/10.1016/j.cose.2024.103909,,retained,include,include,,included_empirical,reliability,Uses Bayesian deep anomaly detection to separate aleatoric and epistemic uncertainty and evaluates rejection based on uncertainty.,It supports network-anomaly trustworthiness but is not a standard calibrated multiclass NIDS or cross-dataset study.,,paper_text/R13.txt,Original per-source assignment and result rank were not retained
R15,,Few-shot network intrusion detection method based on multi-domain fusion and cross-attention,"Xu, Congyuan and Li, Donghui and Liu, Zihao and Yang, Jun and Shen, Qinfeng and Tong, Ningbing",2025,10.1371/journal.pone.0327161,https://doi.org/10.1371/journal.pone.0327161,,retained,include,include,,included_empirical,cross-dataset generalization,Evaluates a deep few-shot cross-domain NIDS using multi-domain fusion and cross-attention under limited labeled data.,The target setting supplies labeled examples and therefore differs from source-only unseen-target generalization.,,paper_text/R15.txt,Original per-source assignment and result rank were not retained
R16,,Trustable Network Intrusion Detection System through Wisdomnet and Uncertainty Measures,"Vij, Abhinav and Tran, Hai-Anh and Tran, Truong X.",2024,10.1109/LCN60385.2024.10639737,https://doi.org/10.1109/LCN60385.2024.10639737,,retained,include,include,,included_empirical,reliability,Implements a reject option using WisdomNet and Monte Carlo dropout uncertainty so doubtful NIDS predictions can be deferred.,"It is abstention evidence on older benchmark settings, not calibration or cross-dataset evidence.",,paper_text/R16.txt,Original per-source assignment and result rank were not retained
R17,,Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection,"Pal, Biprodip and Islam, Md. Saiful and Liew, Alan Wee-Chung",2025,10.1109/TDSC.2025.3598350,https://doi.org/10.1109/TDSC.2025.3598350,,retained,include,include,,included_empirical,reliability,"Evaluates temperature scaling, Monte Carlo dropout, calibration metrics, uncertainty filtering, and out-of-distribution-style attack stress for deep IoT detection.",Its shift evaluation is within the IoT-23 experimental design rather than train-on-one-dataset and test-on-another transfer.,,paper_text/R17.txt,Original per-source assignment and result rank were not retained
R18,,Intrusion detection in Software-Defined Networking using hybrid Bayesian model averaging for reliable uncertainty quantification,"Medjadba, Yasmine and Drid, Hamza and Rahouti, Mohamed",2025,10.1016/j.comnet.2025.111436,https://doi.org/10.1016/j.comnet.2025.111436,,retained,include,include,,included_empirical,reliability,"Combines CNN-LSTM detectors, Monte Carlo dropout, and Bayesian model averaging to produce per-alert predictive uncertainty in SDN intrusion detection.",It is uncertainty-quantification evidence rather than a cross-dataset benchmark or a complete calibration study.,,paper_text/R18.txt,Original per-source assignment and result rank were not retained
