source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes
CR001,1,Zt-Nids: Zero Trust - Network Intrusion Detection System Validation Based on Attack Simulations,Abeer Alalmaie; Priyadarsi Nanda; Xiangjian He,2024,10.2139/ssrn.4762072,https://doi.org/10.2139/ssrn.4762072,posted-content,,Live Crossref record with strict availability audit; current API rank 1; Crossref publication date 2024; not the historical record list
CR002,2,Machine Learning-Based Network Intrusion Detection System (NIDS),Md Shariful Islam,2026,10.36227/techrxiv.176834492.21643927/v1,https://doi.org/10.36227/techrxiv.176834492.21643927/v1,posted-content,,Live Crossref record with strict availability audit; current API rank 2; Crossref publication date 2026-1-13; not the historical record list
CR003,3,Deep Continual Learning Framework for Zero-Day Network Intrusion Detection Under Concept Drift,DOMINIC  JOHN KAVOI; AQEEL SAHI; CHARLES  JUMAA KATILA,2026,10.2139/ssrn.6538249,https://doi.org/10.2139/ssrn.6538249,posted-content,,Live Crossref record with strict availability audit; current API rank 3; Crossref posted-content DOI creation date 2026-04-07; not the historical record list
CR004,4,Federated learning-based anomaly detection for zero-day attack prevention in 6G network slices,Iftikhar Rasheed; Hala Mostafa,2025,10.1016/j.comnet.2025.111376,https://doi.org/10.1016/j.comnet.2025.111376,journal-article,Computer Networks,Live Crossref record with strict availability audit; current API rank 4; Crossref publication date 2025-8; not the historical record list
CR005,5,Efficient Deep Neural Network for Intrusion Detection Using CIC-IDS-2017 Dataset,GOPICHAND BANDARUPALLI,2024,10.21203/rs.3.rs-5424062/v1,https://doi.org/10.21203/rs.3.rs-5424062/v1,posted-content,,Live Crossref record with strict availability audit; current API rank 5; Crossref publication date 2024-11-12; not the historical record list
CR006,6,CS-NIDS: Network Intrusion Detection Based on Cross-Silo Federated Learning,Maged Abdelaty,2025,10.1109/iceeng64546.2025.11031351,https://doi.org/10.1109/iceeng64546.2025.11031351,proceedings-article,2025 15th International Conference on Electrical Engineering (ICEENG),Live Crossref record with strict availability audit; current API rank 6; Crossref publication date 2025-5-12; not the historical record list
CR007,7,Neural Network Ensembles Combined with Statistical Models for Enhanced Encryption Algorithms,Shobana D; W .Nancy; P.R Therasa,2025,10.71443/9788197933608-06,https://doi.org/10.71443/9788197933608-06,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",Live Crossref record with strict availability audit; current API rank 7; Crossref publication date 2025-2-17; not the historical record list
CR008,8,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,George Thamer Francis; Abdulrahman Gashut; Mohanad Alayedi; Malek Malkawi,2026,10.1109/ojcoms.2026.3677692,https://doi.org/10.1109/ojcoms.2026.3677692,journal-article,IEEE Open Journal of the Communications Society,Live Crossref record with strict availability audit; current API rank 8; official IEEE publication date 2026-03-25; not the historical record list
CR009,10,Integrating intrinsic information: A novel open set domain adaptation network for cross-domain fault diagnosis with multiple unknown faults,Yuteng Zhang; Hongliang Zhang; Bin Chen; Jinde Zheng; Haiyang Pan,2024,10.1016/j.knosys.2024.112100,https://doi.org/10.1016/j.knosys.2024.112100,journal-article,Knowledge-Based Systems,Live Crossref record with strict availability audit; current API rank 10; Crossref publication date 2024-9; not the historical record list
CR010,11,ResNet50-based deep convolutional neural network for zero-day attack prediction and detection,,2025,10.19101/ijatee.2024.111100055,https://doi.org/10.19101/ijatee.2024.111100055,journal-article,International Journal of Advanced Technology and Engineering Exploration,Live Crossref record with strict availability audit; current API rank 11; Crossref publication date 2025-3-31; not the historical record list
CR011,12,Application of Transfer Learning in Multi-Domain Hybrid Cybersecurity Solutions,Shobana D,2025,10.71443/9788197933608-15,https://doi.org/10.71443/9788197933608-15,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",Live Crossref record with strict availability audit; current API rank 12; Crossref publication date 2025-2-17; not the historical record list
CR012,13,A Deep Learning-Based Intrusion Detection Model Integrating Convolutional Neural Network and Vision Transformer for Network Traffic Attack in the Internet of Things,Chunlai Du; Yanhui Guo; Yuhang Zhang,2024,10.3390/electronics13142685,https://doi.org/10.3390/electronics13142685,journal-article,Electronics,Live Crossref record with strict availability audit; current API rank 13; Crossref publication date 2024-7-9; not the historical record list
CR013,14,ResTN: Residual Transfer Network for Cross Domain Network Intrusion Detection,Wei Huang; Yong Wang; Zhen Wang,2025,10.1109/icsp65755.2025.11086791,https://doi.org/10.1109/icsp65755.2025.11086791,proceedings-article,2025 10th International Conference on Intelligent Computing and Signal Processing (ICSP),Live Crossref record with strict availability audit; current API rank 14; Crossref publication date 2025-5-16; not the historical record list
CR014,15,A Domain Adaptation Network Intrusion Detection Algorithm based on Class-Balanced Knowledge Transferand Multi-Structure Domain Alignment,Qian Wang; Xiang Liu; Yifan Cheng; Yongqiang Cheng; Bing Zhang,2025,10.21203/rs.3.rs-6852869/v1,https://doi.org/10.21203/rs.3.rs-6852869/v1,posted-content,,Live Crossref record with strict availability audit; current API rank 15; Crossref publication date 2025-6-30; not the historical record list
CR015,16,Anomaly Detection in Network Traffic via Cross-Domain Federated Graph Representation Learning,Yanli Zhao; Zongduo Liu; Junjie Pang,2025,10.3390/app15116258,https://doi.org/10.3390/app15116258,journal-article,Applied Sciences,Live Crossref record with strict availability audit; current API rank 16; Crossref publication date 2025-6-2; not the historical record list
CR016,17,Neural Network Based Zero-Day-Attack Detection: A Machine Learning Approach to Enhancing Cybersecurity,Abhijeet Sharma; Akash Nigam; Jatin Chaudhary; Sonal Shukla,2024,10.2139/ssrn.4848658,https://doi.org/10.2139/ssrn.4848658,journal-article,SSRN Electronic Journal,Live Crossref record with strict availability audit; current API rank 17; Crossref publication date 2024; not the historical record list
CR017,18,Hybrid Supervised and Unsupervised Learning Models for Identifying Network Anomalies,D Kanchana; Hubert Mary L; A Thilagavathy,2025,10.71443/9788197933608-04,https://doi.org/10.71443/9788197933608-04,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",Live Crossref record with strict availability audit; current API rank 18; Crossref publication date 2025-2-17; not the historical record list
CR018,20,Overcoming emergency HTTP/3 DDoS attack detection: A domain adaptation solution with graph neural network,Jie Yao; Li Tian; Ziyi Wei; Guozi Sun,2025,10.1016/j.comnet.2025.111611,https://doi.org/10.1016/j.comnet.2025.111611,journal-article,Computer Networks,Live Crossref record with strict availability audit; current API rank 20; Crossref publication date 2025-10; not the historical record list
CR019,21,Privacy-Preserving Federated Network Intrusion Detection on Encrypted Traffic: A Multi-Site Cross-Domain Approach with XGBoost Optimization,Peter Oluwaseun Adepoju; Mohammed Al-Hubaishi,2025,10.1109/icmlant68509.2025.11394855,https://doi.org/10.1109/icmlant68509.2025.11394855,proceedings-article,2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT),Live Crossref record with strict availability audit; current API rank 21; Crossref publication date 2025-12-11; not the historical record list
CR020,22,An innovative intrusion detection framework using GAN-augmented Deep Ensemble Neural Network for cross-domain IoT–cloud security,Sadia Nazim; Syed Shujaa Hussain; Bilal Yousuf; Saima Sultana; Eraj Tanweer,2025,10.1016/j.iot.2025.101773,https://doi.org/10.1016/j.iot.2025.101773,journal-article,Internet of Things,Live Crossref record with strict availability audit; current API rank 22; Crossref publication date 2025-11; not the historical record list
CR021,23,Causal Graph-Enhanced Deep Learning for Robust Anomaly Detection in Network Intrusion Detection Systems,Xiaoyan Yu,2025,10.1109/mlprae67267.2025.11290821,https://doi.org/10.1109/mlprae67267.2025.11290821,proceedings-article,"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",Live Crossref record with strict availability audit; current API rank 23; Crossref publication date 2025-9-26; not the historical record list
CR022,24,An Efficient Deep Learning Framwork for Classification and Detection of Anomaly Based Network Intrusion using NSL-KDD Dataset,Parth Mehrotra; Uttkarsh Dwivedi,2025,10.1109/icdt63985.2025.10986548,https://doi.org/10.1109/icdt63985.2025.10986548,proceedings-article,2025 3rd International Conference on Disruptive Technologies (ICDT),Live Crossref record with strict availability audit; current API rank 24; Crossref publication date 2025-3-7; not the historical record list
CR023,25,Application of Deep Learning-Based Intrusion Detection System (IDS) in Network Anomaly Traffic Detection,Fanyi Zhao; Hanzhe Li; Kaiyi Niu; Jiatu Shi; Runze Song,2024,10.20944/preprints202407.0595.v1,https://doi.org/10.20944/preprints202407.0595.v1,posted-content,,Live Crossref record with strict availability audit; current API rank 25; Crossref publication date 2024-7-8; not the historical record list
CR024,27,Network Anomaly Detection Scheme Using Graph Neural Network,Patrice Kisanger,2024,10.32920/26883595.v1,https://doi.org/10.32920/26883595.v1,posted-content,,Live Crossref record with strict availability audit; current API rank 27; Crossref publication date 2024-9-5; not the historical record list
CR025,28,Network Anomaly Detection Scheme Using Graph Neural Network,Patrice Kisanger,2024,10.32920/26883595,https://doi.org/10.32920/26883595,posted-content,,Live Crossref record with strict availability audit; current API rank 28; Crossref publication date 2024-9-5; not the historical record list
CR026,,IDAC: Federated Learning-Based Intrusion Detection Using Autonomously Extracted Anomalies in IoT,"Ohtani, Takahiro and Yamamoto, Ryo and Ohzahata, Satoshi",2024,10.3390/s24103218,https://doi.org/10.3390/s24103218,journal-article,Sensors,Author-requested targeted corpus-alignment update using verified manuscript paper R33; updates the previous CR026 record at source rank 29; this row is not a native ranked result and is not a historical export
CR027,,Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security,"Al Rawajbeh, Mohammad and Maria Soosai, Amala Jayanthi and Ramasamy, Lakshmana Kumar and Khan, Firoz",2025,10.3390/iot6030053,https://doi.org/10.3390/iot6030053,journal-article,IoT,Author-requested targeted corpus-alignment update using verified manuscript paper R32; updates the previous CR027 record at source rank 30; this row is not a native ranked result and is not a historical export
CR028,31,A deep learning/machine learning approach for anomaly based network intrusion detection,Reem Almuhanna; Samia Dardouri,2025,10.3389/frai.2025.1625891,https://doi.org/10.3389/frai.2025.1625891,journal-article,Frontiers in Artificial Intelligence,Live Crossref record with strict availability audit; current API rank 31; Crossref publication date 2025-9-9; not the historical record list
CR029,,Adaptive Semi-Supervised Algorithm for Intrusion Detection and Unknown Attack Identification,"Li, Meng and Luo, Lei and Xiao, Kun and Wang, Geng and Wang, Yintao",2025,10.3390/app15041709,https://doi.org/10.3390/app15041709,journal-article,Applied Sciences,Author-requested targeted corpus-alignment update using verified manuscript paper R30; updates the previous CR029 record at source rank 32; this row is not a native ranked result and is not a historical export
CR030,33,Adaptive Decision-Level Intrusion Detection for Known and Zero-Day Attacks,Joseph P. Mchina; Neema Mduma; Ramadhani S. Sinde,2026,10.3390/network6020023,https://doi.org/10.3390/network6020023,journal-article,Network,Live Crossref record with strict availability audit; current API rank 33; Crossref publication date 2026-4-9; not the historical record list
CR031,,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,"Elangovan, Rajesh and Parthasarathy, Durga Devi and Jawahar, M. and Kaliyaperumal, Prabu and Balusamy, Balamurugan and Yogarayan, Sumendra and Venkatesan, Vivek",2026,10.3390/fi18040194,https://doi.org/10.3390/fi18040194,journal-article,Future Internet,Author-requested targeted corpus-alignment update using verified manuscript paper R11; updates the previous CR031 record at source rank 34; this row is not a native ranked result and is not a historical export
CR032,,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","Mazroa, Alanoud Al",2026,10.1038/s41598-025-31025-x,https://doi.org/10.1038/s41598-025-31025-x,journal-article,Scientific Reports,Author-requested targeted corpus-alignment update using verified manuscript paper R9; updates the previous CR032 record at source rank 35; this row is not a native ranked result and is not a historical export
CR033,,Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition,"Fang, Jun and Xie, Cunxiang",2025,10.1038/s41598-025-01084-1,https://doi.org/10.1038/s41598-025-01084-1,journal-article,Scientific Reports,Author-requested targeted corpus-alignment update using verified manuscript paper R7; updates the previous CR033 record at source rank 36; this row is not a native ranked result and is not a historical export
CR034,37,NIDS-CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,Vivek Kumar; Kamal Kumar; Maheep Singh,2024,10.1007/s13042-024-02506-8,https://doi.org/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning and Cybernetics,Live Crossref record with strict availability audit; current API rank 37; Crossref publication date 2024-12-28; not the historical record list
CR035,,Dataset-centric evaluation of federated intrusion detection models in IoT networks,"Bilal, Muhammad Ahmad and Ul Islam, Ihtesham and Idrees, Sarmad and Qasim, Muhammad and Khan, Muhammad Junaid and Khan, Jaleed",2026,10.1038/s41598-025-32567-w,https://doi.org/10.1038/s41598-025-32567-w,journal-article,Scientific Reports,Author-requested targeted corpus-alignment update using verified manuscript paper R5; updates the previous CR035 record at source rank 38; this row is not a native ranked result and is not a historical export
CR036,39,An Evaluation of Open-Set Recognition-Enabled End-Layers on Deep-Learning Models in Network Intrusion Detection Systems,Gaspard Baye; Priscila Silva; Alexandre Broggi; Lance Fiondella; Nathaniel Bastian; Gokhan Kul,2024,10.2139/ssrn.4933825,https://doi.org/10.2139/ssrn.4933825,posted-content,,Live Crossref record with strict availability audit; current API rank 39; Crossref publication date 2024; not the historical record list
CR037,,Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification,"Talpini, Jacopo and Sartori, Fabio and Savi, Marco",2024,10.1007/s40860-024-00238-8,https://doi.org/10.1007/s40860-024-00238-8,journal-article,Journal of Reliable Intelligent Environments,Author-requested targeted corpus-alignment update using verified manuscript paper R2; updates the previous CR037 record at source rank 41; this row is not a native ranked result and is not a historical export
