source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes
GS001,1,"Cross -Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017).","C Xin, K Xu",2025,,https://openurl.ebsco.com/contentitem/gcd:193600133?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:193600133&crl=c&jrnl=25790072,journal-article,Journal of Cybersecurity (2579-0072),"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 182041786770434387; cited-by count displayed 5"
GS002,2,A sequential deep learning framework for a robust and resilient network intrusion detection system,"S Hore, J Ghadermazi, A Shah, ND Bastian",2024,10.1016/j.cose.2024.103928,https://www.sciencedirect.com/science/article/pii/S0167404824002311,journal-article,Computers & Security,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 14877676500465414078; cited-by count displayed 61"
GS003,3,Few-shot network intrusion detection method based on multi-domain fusion and cross-attention,"C Xu, D Li, Z Liu, J Yang, Q Shen, N Tong",2025,10.1371/journal.pone.0327161,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327161,journal-article,Plos one,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9312811795847718474; cited-by count displayed 8"
GS004,4,Generative active adaptation for drifting and imbalanced network intrusion detection,"R Gupta, S Liu, R Zhang, X Hu, X Wang…",2025,10.48550/arXiv.2503.03022,https://arxiv.org/abs/2503.03022,posted-content,arXiv preprint arXiv …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 13312417225947295849; cited-by count displayed 18"
GS005,5,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,"M Pawlicki, S Szelest, R Kozik, M Choraś",2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,book-chapter,International Conference on …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 6744434912302577403; cited-by count displayed 0"
GS006,6,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5717645215874765075; cited-by count displayed 6; DOI verified from official publisher metadata"
GS007,7,Anomaly-based intrusion detection on benchmark datasets for network security: A comprehensive evaluation,"LKS Kumar, SR Nethi, R Uyyala, P Vurubindi…",2026,10.1038/s41598-026-38317-w,https://www.nature.com/articles/s41598-026-38317-w,journal-article,Scientific Reports,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 13603625880129930989; cited-by count displayed 7; verified publication date 2026-03-09"
GS008,8,OLIDA-IDS: Online learning with integrated domain adaptation for intrusion detection systems,"J Violos, C Krikas, P Sarantos…",2025,,https://ieeexplore.ieee.org/abstract/document/11431867/,journal-article,… 2025-,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 7930383883692937546; cited-by count displayed 1"
GS009,9,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment","AE Mahdaouy, IA Yahia, S Oualil, I Berrada",2026,10.48550/arXiv.2602.05594,https://arxiv.org/abs/2602.05594,posted-content,arXiv preprint arXiv …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9775148401472288101; cited-by count displayed 2; verified arXiv first-submission date 2026-02-05"
GS010,10,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering …,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 3144013056636920633; cited-by count displayed 6"
GS011,11,A Survey on the Applications of Deep Learning in Network Intrusion Detection Systems to Enhance Network Security,"FM Anis, M AlAbdullatif, S Aljbli, M Hammoudeh",2025,10.1109/access.2025.3624952,https://ieeexplore.ieee.org/abstract/document/11215731/,journal-article,IEEE Access,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 499924022661479812; cited-by count displayed 22"
GS012,12,Intrusion Detection in Heterogeneous Networks with Domain-Adaptive Multi-Modal Learning,"MU Varghese, Z Taghiyarrenani",2025,10.48550/arXiv.2508.03517,https://arxiv.org/abs/2508.03517,posted-content,arXiv preprint arXiv:2508.03517,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 6518353589483937388; cited-by count displayed 3"
GS013,13,A big data framework for scalable and cross -dataset capable machine learning in network intrusion detection systems,"VM De Oliveira, HM De Oliveira, GM Santos…",2025,10.1109/access.2025.3589872,https://ieeexplore.ieee.org/abstract/document/11082153/,journal-article,IEEE…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 4032006345616923601; cited-by count displayed 14"
GS014,14,On the cross -dataset generalization of machine learning for network intrusion detection,"M Cantone, C Marrocco, A Bria",2024,10.48550/arXiv.2402.10974,https://arxiv.org/abs/2402.10974,posted-content,arXiv preprint arXiv:2402.10974,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 8059877489542110226; cited-by count displayed 26"
GS015,15,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 3144013056636920633; cited-by count displayed 6"
GS016,16,Unveiling the Generalizability Gap: A Cross-Domain Evaluation of Machine Learning Algorithms for Network Intrusion Detection,"MI Amin, M Shen, SUA Laghari…",2024,,https://ieeexplore.ieee.org/abstract/document/11119949/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; cited-by count displayed 0"
GS017,17,Machine learning in network intrusion detection : A cross -dataset generalization study,"M Cantone, C Marrocco, A Bria",2024,10.1109/access.2024.3472907,https://ieeexplore.ieee.org/abstract/document/10704637/,journal-article,IEEE Access,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10975021129984342185; cited-by count displayed 68"
GS018,18,Transfer Learning with CNNs for Cross -Dataset Network Anomaly Detection in Heterogeneous Cybersecurity Environments,L Ridwan,2025,,https://www.researchgate.net/profile/Noora-Qahtani/publication/395924463_Transfer_Learning_with_CNNs_for_Cross-Dataset_Network_Anomaly_Detection_in_Heterogeneous_Cybersecurity_Environments/links/68d85bfeffdca73694b3cdb6/Transfer-Learning-with-CNNs-for-Cross-Dataset-Network-Anomaly-Detection-in-Heterogeneous-Cybersecurity-Environments.pdf,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; cited-by count displayed 0"
GS019,19,CNN channel attention intrusion detection system using NSL-KDD dataset,"FS Alrayes, M Zakariah, SU Amin, ZI Khan…",2024,10.32604/cmc.2024.050586,https://www.sciopen.com/article/10.32604/cmc.2024.050586,journal-article,"Computers, Materials &…","Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 12119868755707069018; cited-by count displayed 55"
GS020,20,NIDS -CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,"V Kumar, K Kumar, M Singh",2025,10.1007/s13042-024-02506-8,https://link.springer.com/article/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 13715425685780131692; cited-by count displayed 5"
GS021,21,Learn-ids: Bridging gaps between datasets and learning-based network intrusion detection,"M Wang, N Yang, Y Guo, N Weng",2024,,https://www.mdpi.com/2079-9292/13/6/1072,journal-article,Electronics,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 882223374837489618; cited-by count displayed 20"
GS022,22,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5717645215874765075; cited-by count displayed 6; DOI verified from official publisher metadata"
GS023,23,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment","AE Mahdaouy, IA Yahia, S Oualil, I Berrada",2026,10.48550/arXiv.2602.05594,https://arxiv.org/abs/2602.05594,posted-content,arXiv preprint arXiv…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9775148401472288101; cited-by count displayed 2; verified arXiv first-submission date 2026-02-05"
GS024,24,Industrial network intrusion detection in open -set scenarios,"W Yu, Z Chen, H Wang, Z Miao, D Zhong",2025,10.1007/s10207-024-00949-2,https://link.springer.com/article/10.1007/s10207-024-00949-2,journal-article,International Journal of…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 16799010406434851936; cited-by count displayed 10"
GS025,25,Open -set recognition in unknown DDoS attacks detection with reciprocal points learning,"CS Shieh, FA Ho, MF Horng, TT Nguyen…",2024,,https://ieeexplore.ieee.org/abstract/document/10497567/,journal-article,IEEE…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 11945536698514602836; cited-by count displayed 28"
GS026,27,A multi-agent adaptive deep learning framework for online intrusion detection,"M Soltani, K Khajavi, M Jafari Siavoshani, AH Jahangir",2024,10.1186/s42400-023-00199-0,https://link.springer.com/article/10.1186/s42400-023-00199-0,journal-article,Cybersecurity,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10400680062227249784; cited-by count displayed 62"
GS027,28,Enhanced Adversarial Domain Adaptation for Intrusion Detection Systems,"I Guerziz, Z Abou El Houda…",2025,,https://ieeexplore.ieee.org/abstract/document/11257501/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5385922138846194342; cited-by count displayed 2"
GS028,29,A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things,"M Wu, Y Zheng, Y Yang, J Luo…",2026,10.1109/jiot.2026.3653672,https://ieeexplore.ieee.org/abstract/document/11348114/,journal-article,IEEE Internet of Things…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 230903981240873585; cited-by count displayed 1; verified IEEE publication date 2026-01-13"
GS029,30,Deep learning -based network intrusion detection systems: a systematic literature review,"LL Mutembei, MC Senekane, T van Zyl",2024,10.1007/978-3-031-78255-8_13,https://link.springer.com/chapter/10.1007/978-3-031-78255-8_13,book-chapter,Southern African Conference for…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 15919111538147613763; cited-by count displayed 6"
GS030,31,Highly accurate anomaly based intrusion detection through integration of the local outlier factor and convolutional neural network,"R Rabih, H Vahdat-Nejad, W Mansoor, JH Joloudari",2025,10.1038/s41598-025-08175-z,https://www.nature.com/articles/s41598-025-08175-z,journal-article,Scientific Reports,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 18068152445532675798; cited-by count displayed 11"
GS031,32,Machine learning and deep learning techniques for internet of things network anomaly detection —current research trends,"SH Rafique, A Abdallah, NS Musa, T Murugan",2024,,https://www.mdpi.com/1424-8220/24/6/1968,journal-article,Sensors,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 8129716881245510628; cited-by count displayed 199"
GS032,33,NIDS Neural Networks Using Sliding Time Window Data Processing with Trainable Activations and its Generalization Capability,"A Raskovalov, N Gabdullin, I Androsov",2024,10.48550/arXiv.2410.18658,https://arxiv.org/abs/2410.18658,posted-content,arXiv preprint arXiv:2410.18658,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10550555234867374910; cited-by count displayed 1"
GS033,34,Cross-Domain Adversarial Alignment for Network Anomaly Detection Through Behavioral Embedding Enrichment,"C Salvador-Najar, LJ Domínguez Pérez",2025,,https://www.mdpi.com/2073-431X/14/11/450,journal-article,Computers,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 73862307637874384; cited-by count displayed 0"
