source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes
IX001,1,A Neuro-Symbolic Artificial Intelligence Network Intrusion Detection System,Alice Bizzarri; Brian Jalaian; Fabrizio Riguzzi; Nathaniel D. Bastian,2024,10.1109/icccn61486.2024.10637618,https://ieeexplore.ieee.org/document/10637618,proceedings-article,2024 33rd International Conference on Computer Communications and Networks (ICCCN),Current assisted retrieval from 4 official-domain searches; retrieval rank 1; maximum relevance score 0.64799920; Crossref metadata date 2024-7-29; not a native database rank or the historical record list
IX002,2,Adaptive Defense: Zero-Day Attack Detection in NIDS With Deep Reinforcement Learning,Khorshed Alam; Md Fahad Monir; Md Junayed Hossain; Mohammad Shorif Uddin; Md. Tarek Habib,2025,10.1109/access.2025.3585445,https://ieeexplore.ieee.org/document/11063272,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 2; maximum relevance score 0.64128816; Crossref metadata date 2025; not a native database rank or the historical record list
IX003,3,Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study,Marco Cantone; Claudio Marrocco; Alessandro Bria,2024,10.1109/access.2024.3472907,https://ieeexplore.ieee.org/document/10704637,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 3; maximum relevance score 0.58862966; Crossref metadata date 2024; not a native database rank or the historical record list
IX004,4,"Meta: Toward a Unified, Multimodal Dataset for Network Intrusion Detection Systems",Syed Wali; Yasir Ali Farrukh; Irfan Khan; Nathaniel D. Bastian,2024,10.1109/ieeedata.2024.3482286,https://ieeexplore.ieee.org/document/10720901,journal-article,IEEE Data Descriptions,Current assisted retrieval from 4 official-domain searches; retrieval rank 4; maximum relevance score 0.56143180; Crossref metadata date 2024; not a native database rank or the historical record list
IX005,5,Bayesian Neural Network Uncertainty Estimation for Detecting Adversarial Attacks on Network Intrusion Detection Systems,Kaustubh Bahl; Amit Praseed,2025,10.1109/ictest64710.2025.11042826,https://ieeexplore.ieee.org/document/11042826,proceedings-article,2025 2nd International Conference on Trends in Engineering Systems and Technologies (ICTEST),Current assisted retrieval from 4 official-domain searches; retrieval rank 5; maximum relevance score 0.49436116; Crossref metadata date 2025-4-3; not a native database rank or the historical record list
IX006,6,Zero-Day Attack Detection in IoT Networks Using a Residual Vision Transformer-Based Approach With Zero-Shot Learning,Komcharn Nitrat; Nopparuj Suetrong; Natthanan Promsuk,2025,10.1109/ojcoms.2025.3604826,https://ieeexplore.ieee.org/document/11151630,journal-article,IEEE Open Journal of the Communications Society,Current assisted retrieval from 4 official-domain searches; retrieval rank 6; maximum relevance score 0.47679950; Crossref metadata date 2025; not a native database rank or the historical record list
IX007,7,Innovative Defense: Deep Learning-Powered Intrusion Detection for IoT Networks,Adel Binbusayyis,2025,10.1109/access.2025.3542275,https://ieeexplore.ieee.org/document/10887228,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 7; maximum relevance score 0.36745238; Crossref metadata date 2025; not a native database rank or the historical record list
IX008,8,A Hybrid Deep Learning Model for Network Intrusion Detection System Using Seq2Seq and ConvLSTM-Subnets,S. Hariharan; Y. Annie Jerusha; G. Suganeshwari; S. P. Syed Ibrahim; Uday Tupakula; Vijay Varadharajan,2025,10.1109/access.2025.3541399,https://ieeexplore.ieee.org/document/10883985,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 8; maximum relevance score 0.34773698; Crossref metadata date 2025; not a native database rank or the historical record list
IX009,9,A Survey on the Applications of Deep Learning in Network Intrusion Detection Systems to Enhance Network Security,Fatima M. Anis; Maryam Alabdullatif; Sarah Aljbli; Mohammad Hammoudeh,2025,10.1109/access.2025.3624952,https://ieeexplore.ieee.org/document/11215731,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 9; maximum relevance score 0.34343034; Crossref metadata date 2025; not a native database rank or the historical record list
IX010,10,The Missing Link in Network Intrusion Detection: Taking AI/ML Research Efforts to Users,Katharina Dietz; Michael Mühlhauser; Jochen Kögel; Stephan Schwinger; Marleen Sichermann; Michael Seufert; Dominik Herrmann; Tobias Hoßfeld,2024,10.1109/access.2024.3406939,https://ieeexplore.ieee.org/document/10540566,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 10; maximum relevance score 0.31821015; Crossref metadata date 2024; not a native database rank or the historical record list
IX011,11,Deep Learning-Based Autonomous Anomaly Detection for Security in SDN-IoT Networks,Tharindu Lakshan Yasarathna; Madhusanka Liyanage; Nhien-An Le-Khac,2025,10.1109/ojcoms.2025.3610365,https://ieeexplore.ieee.org/document/11165121,journal-article,IEEE Open Journal of the Communications Society,Current assisted retrieval from 4 official-domain searches; retrieval rank 11; maximum relevance score 0.30374262; Crossref metadata date 2025; not a native database rank or the historical record list
IX012,,Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems,"Di Monda, Davide and Montieri, Antonio and Persico, Valerio and Voria, Pasquale and De Ieso, Matteo and Pescapè, Antonio",2024,10.1109/ojcoms.2024.3481895,https://doi.org/10.1109/OJCOMS.2024.3481895,journal-article,IEEE Open Journal of the Communications Society,Author-requested targeted corpus-alignment update using verified manuscript paper R26; updates the previous IX012 record at source rank 12; this row is not a native ranked result and is not a historical export
IX013,,A Cross-Domain Intrusion Detection Method Based on Nonlinear Augmented Explicit Features,"Yu, Xu and Lu, Yan and Jiang, Feng and Hu, Qiang and Du, Junwei and Gong, Dunwei",2025,10.1109/tnsm.2024.3444909,https://doi.org/10.1109/TNSM.2024.3444909,journal-article,IEEE Transactions on Network and Service Management,Author-requested targeted corpus-alignment update using verified manuscript paper R24; updates the previous IX013 record at source rank 13; this row is not a native ranked result and is not a historical export
IX014,,Toward Open-World Network Intrusion Detection via Open Recognition and Inspection,"Du, Lei and Chai, Yuhan and Jia, Yan and Fang, Binxing and Li, Hao and Gu, Zhaoquan",2025,10.1109/tifs.2025.3608666,https://doi.org/10.1109/TIFS.2025.3608666,journal-article,IEEE Transactions on Information Forensics and Security,Author-requested targeted corpus-alignment update using verified manuscript paper R20; updates the previous IX014 record at source rank 14; this row is not a native ranked result and is not a historical export
IX015,15,A Big Data Framework for Scalable and Cross-Dataset Capable Machine Learning in Network Intrusion Detection Systems,Vinicius M. de Oliveira; Henrique M. de Oliveira; Gabriel M. Santos; Jhonatan Geremias; Eduardo K. Viegas,2025,10.1109/access.2025.3589872,https://ieeexplore.ieee.org/document/11082153,journal-article,IEEE Access,Current assisted retrieval from 4 official-domain searches; retrieval rank 15; maximum relevance score 0.27208483; Crossref metadata date 2025; not a native database rank or the historical record list
IX016,,Class Incremental Learning for Network-Agnostic Intrusion Detection Systems,"Cerasuolo, Francesco and Bovenzi, Giampaolo and Montieri, Antonio and Pescapè, Antonio",2025,10.1109/rtsi64020.2025.11212335,https://doi.org/10.1109/RTSI64020.2025.11212335,proceedings-article,2025 IEEE 9th Forum on Research and Technologies for Society and Industry Innovation (RTSI),Author-requested targeted corpus-alignment update using verified manuscript paper R19; updates the previous IX016 record at source rank 16; this row is not a native ranked result and is not a historical export
IX017,,Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection,"Pal, Biprodip and Islam, Md. Saiful and Liew, Alan Wee-Chung",2025,10.1109/tdsc.2025.3598350,https://doi.org/10.1109/TDSC.2025.3598350,journal-article,IEEE Transactions on Dependable and Secure Computing,Author-requested targeted corpus-alignment update using verified manuscript paper R17; updates the previous IX017 record at source rank 17; this row is not a native ranked result and is not a historical export
IX018,,Trustable Network Intrusion Detection System through Wisdomnet and Uncertainty Measures,"Vij, Abhinav and Tran, Hai-Anh and Tran, Truong X.",2024,10.1109/lcn60385.2024.10639737,https://doi.org/10.1109/LCN60385.2024.10639737,proceedings-article,2024 IEEE 49th Conference on Local Computer Networks (LCN),Author-requested targeted corpus-alignment update using verified manuscript paper R16; updates the previous IX018 record at source rank 18; this row is not a native ranked result and is not a historical export
