source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes
SD001,1,Wasserstein distance guided feature Tokenizer transformer domain adaptation for network intrusion detection,Hongpo Zhang; Zhaozhe Zhang; Haizhaoyang Huang; Hehe Yang,2025,10.1016/j.cose.2025.104562,https://www.sciencedirect.com/science/article/pii/S0167404825002512,journal-article,Computers & Security,Current assisted retrieval from 4 official-domain searches; retrieval rank 1; maximum relevance score 0.78690180; Crossref metadata date 2025-10; not a native database rank or the historical record list
SD002,2,AIS-NIDS: An intelligent and self-sustaining network intrusion detection system,Yasir Ali Farrukh; Syed Wali; Irfan Khan; Nathaniel D. Bastian,2024,10.1016/j.cose.2024.103982,https://www.sciencedirect.com/science/article/pii/S0167404824002876,journal-article,Computers & Security,Current assisted retrieval from 4 official-domain searches; retrieval rank 2; maximum relevance score 0.56460327; Crossref metadata date 2024-9; not a native database rank or the historical record list
SD003,3,A sequential deep learning framework for a robust and resilient network intrusion detection system,Soumyadeep Hore; Jalal Ghadermazi; Ankit Shah; Nathaniel D. Bastian,2024,10.1016/j.cose.2024.103928,https://www.sciencedirect.com/science/article/pii/S0167404824002311,journal-article,Computers & Security,Current assisted retrieval from 4 official-domain searches; retrieval rank 3; maximum relevance score 0.50549350; Crossref metadata date 2024-9; not a native database rank or the historical record list
SD004,4,Deep learning-driven methods for network-based intrusion detection systems: A systematic review,Ramya Chinnasamy; Malliga Subramanian; Sathishkumar Veerappampalayam Easwaramoorthy; Jaehyuk Cho,2025,10.1016/j.icte.2025.01.005,https://www.sciencedirect.com/science/article/pii/S2405959525000050,journal-article,ICT Express,Current assisted retrieval from 4 official-domain searches; retrieval rank 4; maximum relevance score 0.50051330; Crossref metadata date 2025-2; not a native database rank or the historical record list
SD005,5,Evaluating and enhancing intrusion detection systems in IoMT: The importance of domain-specific datasets,Jordi Doménech; Olga León; Muhammad Shuaib Siddiqui; Josep Pegueroles,2025,10.1016/j.iot.2025.101631,https://www.sciencedirect.com/science/article/pii/S2542660525001453,journal-article,Internet of Things,Current assisted retrieval from 4 official-domain searches; retrieval rank 5; maximum relevance score 0.39529812; Crossref metadata date 2025-7; not a native database rank or the historical record list
SD006,6,Boosting Cybersecurity: A Zero-Day Attack Detection Approach Using Equilibrium Optimiser with Deep Learning Model,Mona Almofarreh; Amnah Alshahrani; Nouf Helal Alharbi; Ahmed Omer Ahmed; Hussain Alshahrani; Abdulrahman Alzahrani; Mohammed Mujib Alshahrani; Asma A. Alhashmi,2025,10.32604/cmes.2025.070545,https://www.sciencedirect.com/org/science/article/pii/S1526149225003959,journal-article,Computer Modeling in Engineering & Sciences,Current assisted retrieval from 4 official-domain searches; retrieval rank 6; maximum relevance score 0.38637030; Crossref metadata date 2025; not a native database rank or the historical record list
SD007,7,Exploring Graph Neural Networks for Robust Network Intrusion Detection,Sarika Saxena; Jyoti Grover; Sunita Singhal,2025,10.1016/j.procs.2025.04.618,https://www.sciencedirect.com/science/article/pii/S1877050925017223,journal-article,Procedia Computer Science,Current assisted retrieval from 4 official-domain searches; retrieval rank 7; maximum relevance score 0.38525957; Crossref metadata date 2025; not a native database rank or the historical record list
SD008,8,"Adaptable, incremental, and explainable network intrusion detection systems for internet of things",Francesco Cerasuolo; Giampaolo Bovenzi; Domenico Ciuonzo; Antonio Pescapè,2025,10.1016/j.engappai.2025.110143,https://www.sciencedirect.com/science/article/pii/S0952197625001435,journal-article,Engineering Applications of Artificial Intelligence,Current assisted retrieval from 4 official-domain searches; retrieval rank 8; maximum relevance score 0.38463530; Crossref metadata date 2025-3; not a native database rank or the historical record list
SD009,9,An active learning framework using deep Q-network for zero-day attack detection,Yali Wu; Yanghu Hu; Junhu Wang; Mengqi Feng; Ang Dong; Yanxi Yang,2024,10.1016/j.cose.2024.103713,https://www.sciencedirect.com/science/article/pii/S0167404824000142,journal-article,Computers & Security,Current assisted retrieval from 4 official-domain searches; retrieval rank 9; maximum relevance score 0.35925227; Crossref metadata date 2024-4; not a native database rank or the historical record list
SD010,10,Deep Q-learning intrusion detection system (DQ-IDS): A novel reinforcement learning approach for adaptive and self-learning cybersecurity,Md. Alamgir Hossain,2025,10.1016/j.icte.2025.05.007,https://www.sciencedirect.com/science/article/pii/S2405959525000694,journal-article,ICT Express,Current assisted retrieval from 4 official-domain searches; retrieval rank 10; maximum relevance score 0.34376070; Crossref metadata date 2025-10; not a native database rank or the historical record list
