record_id,year,title,authors,venue,doi,url,review_role,primary_group,final_status
R1,2024,"Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study","Cantone, Marco and Marrocco, Claudio and Bria, Alessandro","IEEE Access",10.1109/ACCESS.2024.3472907,https://doi.org/10.1109/ACCESS.2024.3472907,empirical,"cross-dataset generalization",included_in_empirical_corpus
R2,2024,"Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification","Talpini, Jacopo and Sartori, Fabio and Savi, Marco","Journal of Reliable Intelligent Environments",10.1007/s40860-024-00238-8,https://doi.org/10.1007/s40860-024-00238-8,empirical,reliability,included_in_empirical_corpus
R3,2025,"Deep learning-driven methods for network-based intrusion detection systems: A systematic review","Chinnasamy, Ramya and Subramanian, Malliga and Easwaramoorthy, Sathishkumar Veerappampalayam and Cho, Jaehyuk","ICT Express",10.1016/j.icte.2025.01.005,https://doi.org/10.1016/j.icte.2025.01.005,review,"review synthesis",background_outside_empirical_corpus
R4,2025,"Cross-Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017)","Xin, Chaonan and Xu, Keqing","Journal of Cyber Security",10.32604/jcs.2025.071627,https://doi.org/10.32604/jcs.2025.071627,empirical,"cross-dataset generalization",included_in_empirical_corpus
R5,2026,"Dataset-centric evaluation of federated intrusion detection models in IoT networks","Bilal, Muhammad Ahmad and Ul Islam, Ihtesham and Idrees, Sarmad and Qasim, Muhammad and Khan, Muhammad Junaid and Khan, Jaleed","Scientific Reports",10.1038/s41598-025-32567-w,https://doi.org/10.1038/s41598-025-32567-w,empirical,"deployment adaptation or realism",included_in_empirical_corpus
R6,2025,"A novel open set Energy-based Flow Classifier for Network Intrusion Detection","Souza, Manuela M.C. and Pontes, Camila T. and Gondim, João J.C. and Garcia, Luís P.F. and DaSilva, Luiz and Cavalcante, Eduardo F.M. and Marotta, Marcelo A.","Computers & Security",10.1016/j.cose.2025.104569,https://doi.org/10.1016/j.cose.2025.104569,empirical,"open-set recognition",included_in_empirical_corpus
R7,2025,"Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition","Fang, Jun and Xie, Cunxiang","Scientific Reports",10.1038/s41598-025-01084-1,https://doi.org/10.1038/s41598-025-01084-1,empirical,"open-set recognition",included_in_empirical_corpus
R9,2026,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","Mazroa, Alanoud Al","Scientific Reports",10.1038/s41598-025-31025-x,https://doi.org/10.1038/s41598-025-31025-x,empirical,"deployment adaptation or realism",included_in_empirical_corpus
R10,2024,"Open Set Dandelion Network for IoT Intrusion Detection","Wu, Jiashu and Dai, Hao and Kent, Kenneth B. and Yen, Jerome and Xu, Chengzhong and Wang, Yang","ACM Transactions on Internet Technology",10.1145/3639822,https://doi.org/10.1145/3639822,empirical,"open-set recognition",included_in_empirical_corpus
R11,2026,"Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet","Elangovan, Rajesh and Parthasarathy, Durga Devi and Jawahar, M. and Kaliyaperumal, Prabu and Balusamy, Balamurugan and Yogarayan, Sumendra and Venkatesan, Vivek","Future Internet",10.3390/fi18040194,https://doi.org/10.3390/fi18040194,empirical,"cross-dataset generalization",included_in_empirical_corpus
R12,2026,"TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment","Wu, Jiashu and Wang, Yang","Expert Systems with Applications",10.1016/j.eswa.2025.129543,https://doi.org/10.1016/j.eswa.2025.129543,empirical,"cross-dataset generalization",included_in_empirical_corpus
R13,2024,"Towards trustworthy cybersecurity operations using Bayesian Deep Learning to improve uncertainty quantification of anomaly detection","Yang, Tengfei and Qiao, Yuansong and Lee, Brian","Computers & Security",10.1016/j.cose.2024.103909,https://doi.org/10.1016/j.cose.2024.103909,empirical,reliability,included_in_empirical_corpus
R14,2025,"Deep Learning-Based Network Intrusion Detection Systems: A Systematic Literature Review","Mutembei, Leonard L. and Senekane, Makhamisa C. and van Zyl, Terence","Artificial Intelligence Research",10.1007/978-3-031-78255-8_13,https://doi.org/10.1007/978-3-031-78255-8_13,review,"review synthesis",background_outside_empirical_corpus
R15,2025,"Few-shot network intrusion detection method based on multi-domain fusion and cross-attention","Xu, Congyuan and Li, Donghui and Liu, Zihao and Yang, Jun and Shen, Qinfeng and Tong, Ningbing","PLOS One",10.1371/journal.pone.0327161,https://doi.org/10.1371/journal.pone.0327161,empirical,"cross-dataset generalization",included_in_empirical_corpus
R16,2024,"Trustable Network Intrusion Detection System through Wisdomnet and Uncertainty Measures","Vij, Abhinav and Tran, Hai-Anh and Tran, Truong X.","2024 IEEE 49th Conference on Local Computer Networks (LCN)",10.1109/LCN60385.2024.10639737,https://doi.org/10.1109/LCN60385.2024.10639737,empirical,reliability,included_in_empirical_corpus
R17,2025,"Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection","Pal, Biprodip and Islam, Md. Saiful and Liew, Alan Wee-Chung","IEEE Transactions on Dependable and Secure Computing",10.1109/TDSC.2025.3598350,https://doi.org/10.1109/TDSC.2025.3598350,empirical,reliability,included_in_empirical_corpus
R18,2025,"Intrusion detection in Software-Defined Networking using hybrid Bayesian model averaging for reliable uncertainty quantification","Medjadba, Yasmine and Drid, Hamza and Rahouti, Mohamed","Computer Networks",10.1016/j.comnet.2025.111436,https://doi.org/10.1016/j.comnet.2025.111436,empirical,reliability,included_in_empirical_corpus
R19,2025,"Class Incremental Learning for Network-Agnostic Intrusion Detection Systems","Cerasuolo, Francesco and Bovenzi, Giampaolo and Montieri, Antonio and Pescapè, Antonio","2025 IEEE 9th Forum on Research and Technologies for Society and Industry Innovation (RTSI)",10.1109/RTSI64020.2025.11212335,https://doi.org/10.1109/RTSI64020.2025.11212335,empirical,"deployment adaptation or realism",included_in_empirical_corpus
