row_order,record_id,year,title,doi,evidence_url,primary_group,front_tested,secondary_coverage,reported_result_or_value,data_separation_rating,data_separation_basis,leakage_control_rating,leakage_control_basis,target_access_and_harmonization_rating,target_access_and_harmonization_basis,selection_independence_rating,selection_independence_basis,statistical_reporting_rating,statistical_reporting_basis,reproducibility_rating,reproducibility_basis,overall_confidence,overall_quality_basis,deployment_limitation,scope_exception,verification_status
1,"R1",2024,"Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study","10.1109/ACCESS.2024.3472907","https://doi.org/10.1109/ACCESS.2024.3472907","cross-dataset generalization","Cross-dataset","none","Reports 9/16 within-dataset experiments with MCC above 99.6%, while average MCC falls from 94.63% within-dataset to 29.35% in cross-dataset testing across CIC/LycoS datasets.","clear","The within-dataset and source-only cross-dataset partitions are described.","partial","Training-subset grid search is reported, but all preprocessing-fit details are not itemized.","clear","Source and target datasets are explicit and target data are not used for source-only training.","partial","Hyperparameters use a training subset, but the single-attack analysis reports the highest result from three runs.","partial","Three runs are performed for single-attack experiments, but the highest result is reported rather than a full variability summary.","partial","The new dataset and experimental environment are documented, while complete training-code availability is not clear.","higher","The source-only protocol and data partitions are clear, with no identified major leakage or test-informed model selection.","Shows dataset dependence but does not test unknown-attack rejection or reliability under the same protocol.","non_dl_empirical_benchmark","full_text_verified"
2,"R4",2025,"Cross-Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017)","10.32604/jcs.2025.071627","https://doi.org/10.32604/jcs.2025.071627","cross-dataset generalization","Cross-dataset + reliability","reliability","Reports Transformer-IDS cross-dataset gains, with AUC improved by about 10-20% and F1-score by 10+ points over baselines, plus probability-calibration and ECE analysis.","partial","Cross-dataset experiments are described, but the calibration-data split is inconsistent.","partial","No definite feature leakage is established, but inconsistent calibration-data provenance prevents a clear rating.","partial","Source-target tasks are explicit, while the calibration-data source under target testing is inconsistent.","unclear","The independence of calibration fitting from reported target-test data is not established consistently.","partial","Three-seed variability and calibration metrics are reported, but inference is limited.","partial","Method details are available, but complete reproducibility resources are not reported clearly.","moderate","Three-seed variability and calibration metrics are present, but calibration-data provenance is inconsistent.","Provides pairwise cross-dataset and reliability evidence but does not test unknown-attack rejection in the same experiment.","","full_text_verified"
3,"R11",2026,"Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet","10.3390/fi18040194","https://doi.org/10.3390/fi18040194","cross-dataset generalization","Cross-dataset","none","Macro-F1 drops from 0.84-0.96 in-domain to 0.69-0.78 under future-Internet cross-dataset testing, with benign FPR about 0.30.","clear","Source-only training and held-out cross-domain evaluation are described.","clear","Normalisation is fitted using training data, and no major leakage was identified.","clear","Source and target domains are explicit, with no target retraining, adaptation, or threshold tuning.","clear","Hyperparameters and thresholds are fixed before target evaluation.","partial","Five independent runs and Wilcoxon tests are reported, but exact p-values, sidedness, and multiple-comparison correction are absent.","partial","Datasets and protocol details are reported, while complete executable resources are not clearly available.","moderate","Source-only evaluation and fixed selection are clear; statistical reporting has bounded omissions.","Shows domain-shift risk but does not combine shift with unseen-attack rejection and calibration.","","full_text_verified"
4,"R12",2026,"TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment","10.1016/j.eswa.2025.129543","https://doi.org/10.1016/j.eswa.2025.129543","cross-dataset generalization","Cross-dataset + open-set","open-set recognition","Evaluates multi-source, semi-supervised, unsupervised, and open-set domain-adaptation settings for IoT IDS.","partial","Multiple evaluation regimes and sub-datasets are described, but repeated split execution is not clear.","partial","No specific leakage is established, although the reporting does not support a fully clear leakage audit.","clear","Target supervision regimes and heterogeneous feature, distribution, and attack settings are explicitly distinguished.","unclear","Independent model and hyperparameter selection for every benchmarked method is not reported clearly.","unclear","Repeated-run uncertainty and conventional variability reporting are not clear.","partial","The dataset construction and benchmark methods are documented, but reproducibility resources are not reported clearly.","moderate","Target-access regimes are clear, while repeated-run and reproducibility support are limited.","Useful benchmark evidence, but reliability and abstention are not included as a third deployment requirement.","evaluation_resource_not_detector","full_text_verified"
5,"R15",2025,"Few-shot network intrusion detection method based on multi-domain fusion and cross-attention","10.1371/journal.pone.0327161","https://doi.org/10.1371/journal.pone.0327161","cross-dataset generalization","Cross-dataset / few-shot","few-shot target support","Reports 99.03% accuracy at K=10 on CIC-IDS2017, 98.64% on CICIDS2018, and more than 95.13% cross-domain accuracy.","clear","Training, support, and query roles are explicitly described.","partial","No major leakage was identified, although preprocessing-fit details are not fully itemized in the manuscript extraction.","clear","Target support access is explicit and source-only cross-domain testing is reported separately.","clear","The episodic support/query protocol separates model development from query evaluation.","clear","Results are averaged over ten trials.","partial","The article and experimental details are accessible, while a complete executable package is not the basis of the rating.","higher","Target support is explicit, ten-trial averaging is reported, and source-only testing is separated.","The few-shot support/query setting is not a full source-only deployment test with unknown attacks and reliability checks.","","full_text_verified"
6,"R21",2024,"Multi-source refined adversarial domain adaptation with transfer complementarity infusion for IoT intrusion detection under limited samples","10.1016/j.eswa.2024.124352","https://doi.org/10.1016/j.eswa.2024.124352","cross-dataset generalization","Cross-dataset adaptation","limited-sample target adaptation","Reports more than 95% average detection accuracy across four IoT datasets under limited-sample tasks.","partial","Limited-sample experimental scenarios are disclosed, but full split independence is not reported in sufficient detail.","partial","No definite leakage is identified, but preprocessing and split controls are not fully auditable.","clear","The use of limited labelled target samples and the adaptation scenarios are explicit.","unclear","Independent selection of all settings from held-out target tests is not established.","unclear","Conventional repeated-run or uncertainty reporting is limited.","partial","The method and scenarios are described, but reproducibility resources remain limited.","moderate","Target access is disclosed and results are interpretable despite limited variability and reproducibility support.","Addresses domain adaptation but does not jointly evaluate unknown attacks and reliability.","","full_text_verified"
7,"R22",2025,"Wasserstein distance guided feature Tokenizer transformer domain adaptation for network intrusion detection","10.1016/j.cose.2025.104562","https://doi.org/10.1016/j.cose.2025.104562","cross-dataset generalization","Cross-dataset adaptation","unlabelled-target adaptation","On UQ->CIC, reports ACC 0.9234, F1 0.9186, recall 0.8639, and AUC 0.9468; average F1 across 20 transfer tasks is 0.7791.","partial","Source-target tasks are defined, but the use of all data during scaling weakens split separation.","unclear","Scaling is described as using all data, creating a material leakage concern.","clear","Unlabelled target data and pseudo-labels are explicitly used for adaptation.","unclear","Important settings are selected using performance on the reported target tasks.","partial","Twenty transfer tasks are reported, but repeated-run uncertainty is not clear.","partial","Method details are available, while complete code and rerun support are not clearly reported.","limited","All-data scaling and target-task-informed setting selection materially weaken confidence.","Improves shifted known-class detection but does not test withheld unknown attacks or calibrated abstention.","","full_text_verified"
8,"R24",2025,"A Cross-Domain Intrusion Detection Method Based on Nonlinear Augmented Explicit Features","10.1109/TNSM.2024.3444909","https://doi.org/10.1109/TNSM.2024.3444909","cross-dataset generalization","Cross-dataset adaptation","unlabelled-target adaptation","Reports more than 85% accuracy in the difficult UNSW-NB15->CICIDS2017 cross-domain setting.","unclear","Target samples used for adaptation are not clearly separated from target evaluation samples.","unclear","The unresolved adaptation-evaluation overlap creates a material leakage risk.","partial","Labelled-source and unlabelled-target access are stated, but the target partition roles are unclear.","unclear","Settings appear to be selected from reported target results.","unclear","Repeated-run variability and inferential support are not reported clearly.","partial","The architecture and experiments are described, but complete reproducibility resources are not clear.","limited","Target adaptation and evaluation are insufficiently separated and settings appear target-result informed.","Targets domain mismatch but does not integrate open-set rejection and reliability.","","full_text_verified"
9,"R6",2025,"A novel open set Energy-based Flow Classifier for Network Intrusion Detection","10.1016/j.cose.2025.104569","https://doi.org/10.1016/j.cose.2025.104569","open-set recognition","Open-set","none","Reports AUROC 0.859 and AUPRC 0.993 on a reproduced CICIDS2017 open-set benchmark, with macro-F1 0.752 in closed-set testing.","clear","Cross-validation and leave-one-class-out evaluation are explicitly described.","clear","Preprocessing and evaluation scripts are reported, with no identified leakage concern.","not_applicable","The principal evidence is an open-set benchmark rather than a source-target domain-adaptation test.","clear","The open-set threshold is derived from training data.","clear","Cross-validation and confidence intervals are reported.","clear","The authors provide preprocessing and experimental scripts and a project repository.","higher","Cross-validation, leave-one-class-out testing, training-derived thresholding, and reproducibility resources are reported.","Useful open-set evidence but not a full deep-learning joint deployment test with cross-dataset reliability.","non_dl_open_set_method_context","full_text_verified"
10,"R7",2025,"Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition","10.1038/s41598-025-01084-1","https://doi.org/10.1038/s41598-025-01084-1","open-set recognition","Open-set","none","Reports more than 88.5% accuracy for misuse detection and more than 88.2% for anomaly detection on CICIDS2017 open-set testing.","partial","The open-set construction is described, while an independent validation role is unclear.","partial","No specific leakage is established, but preprocessing and validation controls are incompletely reported.","not_applicable","The reported experiment is primarily a single-dataset open-set evaluation.","unclear","OpenMax and related operating-parameter selection are not tied clearly to independent validation data.","unclear","Repeated runs and variability reporting are insufficiently clear.","unclear","Code availability and complete rerun support are insufficiently clear.","moderate","The open-set design is interpretable, but validation, parameter selection, variability, and code reporting are limited.","Tests unknown-class handling but not rejection stability under target-dataset shift.","","full_text_verified"
11,"R10",2024,"Open Set Dandelion Network for IoT Intrusion Detection","10.1145/3639822","https://doi.org/10.1145/3639822","open-set recognition","Cross-dataset + open-set","cross-dataset adaptation","Reports OSDN open-set domain-adaptation results across source-target intrusion tasks, with ACC 53.78-76.18 and IND-mode accuracy 62.31-90.11 across openness settings up to 0.71.","partial","Source-target tasks are described, but split-selection detail is limited.","partial","No definite leakage is established, although target adaptation and split controls are not fully auditable.","clear","Unlabelled-target adaptation and openness settings are explicit.","unclear","Independent model and operating-setting selection is not reported clearly.","unclear","Repeated-run basis and variability reporting are limited.","partial","The method and tasks are described, but complete reproducibility resources are not clear.","moderate","Target adaptation is explicit, but split selection and variability reporting remain limited.","Provides pairwise cross-dataset and open-set evidence without calibration, uncertainty, or abstention.","","full_text_verified"
12,"R20",2025,"Toward Open-World Network Intrusion Detection via Open Recognition and Inspection","10.1109/TIFS.2025.3608666","https://doi.org/10.1109/TIFS.2025.3608666","open-set recognition","Open-set / inspection","unknown-sample inspection","Improves open-recognition accuracy over CADE by 1.08-1.92% on USTC-TFC2016, 0.91-3.21% on CIC-IDS2018, and 10.50% on TON-IoT.","clear","Known and unknown partitions are explicitly defined.","partial","No major leakage is identified, but the complete preprocessing-fit audit is not reported in the extraction.","not_applicable","The reported evidence uses within-dataset open-world partitions rather than source-target adaptation.","unclear","Key operating parameters are selected experimentally without an independent validation protocol.","partial","Comparative results are reported, while repeated-run uncertainty is not sufficiently clear.","partial","Method details are reported, but complete code and rerun resources are not clear.","moderate","Known and unknown partitions are clear, but operating-parameter selection is not independently validated.","Adds unknown-sample inspection but not cross-dataset reliability testing.","","full_text_verified"
13,"R25",2025,"nNFST: A single-model approach for multiclass novelty detection in network intrusion detection systems","10.1016/j.jnca.2025.104128","https://doi.org/10.1016/j.jnca.2025.104128","open-set recognition","Open-set","multiclass novelty detection","Reports 97.12-99.56% accuracy for multiclass classification, 94.53-99.33% for novel-attack detection, and MCC 0.825-0.975 for multiclass novelty detection.","clear","Leave-one-attack-out evaluation is explicitly described.","unclear","Preprocessing fitting is not tied clearly to training data only.","not_applicable","The principal evidence is within-dataset novelty testing rather than source-target adaptation.","unclear","The anomaly threshold is not tied clearly to training or validation data.","partial","Multiple novelty partitions are evaluated, but conventional repeated-run uncertainty is not clear.","partial","The method is described, while complete executable resources are not clearly reported.","moderate","Leave-one-attack-out testing is clear, but preprocessing and threshold independence are uncertain.","The result depends on selected novelty partitions and lacks cross-dataset calibration.","","full_text_verified"
