screening_row_id,source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,abstract,abstract_source_url,abstract_retrieval_status,deduplication_review_group,removed_source_record_ids,notes,assigned_reviewer,kll_title_abstract_decision,kll_exclusion_reason,kll_notes,kss_title_abstract_decision,kss_exclusion_reason,kss_notes,final_title_abstract_decision,final_exclusion_reason
TA001,GS040,41,FN-GNN: A novel graph embedding approach for enhancing graph neural networks in network intrusion detection systems,"DH Tran, M Park",2024,,https://www.mdpi.com/2076-3417/14/16/6932,journal-article,Applied Sciences,"With the proliferation of the Internet, network complexities for both commercial and state organizations have significantly increased, leading to more sophisticated and harder-to-detect network attacks. This evolution poses substantial challenges for intrusion detection systems, threatening the cybersecurity of organizations and national infrastructure alike. Although numerous deep learning techniques such as convolutional neural networks (CNNs), recurrent neural networks (RNNs), and graph neural networks (GNNs) have been applied to detect various network attacks, they face limitations due to the lack of standardized input data, affecting model accuracy and performance. This paper proposes a novel preprocessing method for flow data from network intrusion detection systems (NIDSs), enhancing the efficacy of a graph neural network model in malicious flow detection. Our approach initializes graph nodes with data derived from flow features and constructs graph edges through the analysis of IP relationships within the system. Additionally, we propose a new graph model based on the combination of the graph neural network (GCN) model and SAGEConv, a variant of the GraphSAGE model. The proposed model leverages the strengths while addressing the limitations encountered by the previous models. Evaluations on two IDS datasets, CICIDS-2017 and UNSW-NB15, demonstrate that our model outperforms existing methods, offering a significant advancement in the detection of network threats. This work not only addresses a critical gap in the standardization of input data for deep learning models in cybersecurity but also proposes a scalable solution for improving the intrusion detection accuracy.",https://openalex.org/W4401410618,retrieved_openalex_metadata,,,"The record proposes or compares a NIDS model on benchmark data, but the title and abstract do not report cross-dataset or domain-shift evaluation, a defined open-set or unseen-attack protocol, calibration or uncertainty assessment, or a concrete deployment-adaptation test.",KLL,exclude_at_title_abstract,no_deployment_relevance,KLL confirmed the advisory recommendation.,not_assigned,,,exclude_at_title_abstract,no_deployment_relevance
TA002,GS084,86,Deep learning based network intrusion detection for unmanned aerial vehicle (uav),"W Ahmad, MA Almaiah, A Ali…",2024,,https://ieeexplore.ieee.org/abstract/document/10541665/,journal-article,,"Unmanned Aerial Vehicles (UAVs) have witnessed significant growth in various applications, including surveillance, reconnaissance, and data collection. However, the increased reliance on network connectivity exposes UAVs to potential cyber threats. Network intrusion detection systems (NIDS) are critical for safeguarding UAV communication channels. This paper presents a novel approach to enhance the security of UAV networks using deep learning-based NIDS. The proposed system leverages the capabilities of deep neural networks to detect and classify network intrusions effectively. We explore the utilization of convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for feature extraction and sequence modeling, respectively. The network is trained on a comprehensive dataset that simulates various attack scenarios to ensure robust detection performance. Our experimental results demonstrate the effectiveness of the deep learning-based NIDS for UAVs. The system achieves high detection accuracy and low false-positive rates, making it suitable for real-world applications. Furthermore, the model exhibits adaptability to evolving attack techniques, as it can continuously learn and improve its detection capabilities. The proposed deep learning-based NIDS not only enhances the cybersecurity of UAVs but also contributes to the overall safety and reliability of UAV operations. As UAVs become increasingly integrated into critical infrastructure and autonomous systems, the importance of robust network security measures cannot be overstated. This research represents a significant step towards ensuring the integrity and security of UAV networks in a rapidly evolving digital landscape.",https://openalex.org/W4399307748,retrieved_openalex_metadata,,,"The record proposes or compares a NIDS model on benchmark data, but the title and abstract do not report cross-dataset or domain-shift evaluation, a defined open-set or unseen-attack protocol, calibration or uncertainty assessment, or a concrete deployment-adaptation test.",KSS,not_assigned,,,exclude_at_title_abstract,no_deployment_relevance,KSS confirmed the advisory recommendation.,exclude_at_title_abstract,no_deployment_relevance
TA003,CR012,13,A Deep Learning-Based Intrusion Detection Model Integrating Convolutional Neural Network and Vision Transformer for Network Traffic Attack in the Internet of Things,Chunlai Du; Yanhui Guo; Yuhang Zhang,2024,10.3390/electronics13142685,https://doi.org/10.3390/electronics13142685,journal-article,Electronics,"With the rapid expansion and ubiquitous presence of the Internet of Things (IoT), the proliferation of IoT devices has reached unprecedented levels, heightening concerns about IoT security. Intrusion detection based on deep learning has become a crucial approach for safeguarding IoT ecosystems. However, challenges remain in IoT intrusion detection research, including inadequate feature representation at the classifier level and poor correlation among extracted traffic features, leading to diminished classification accuracy. To address these issues, we propose a novel transformer-based IoT intrusion detection model, MBConv-ViT (MobileNet Convolution and Vision Transformer), which enhances the correlation of extracted features by fusing local and global features. By leveraging the high correlation of traffic flow, our model can identify subtle differences in IoT traffic flow, thereby achieving precise classification of attack traffic. Experiments based on the open datasets TON-IoT and Bot-IoT demonstrate that the accuracy of the MBConv-ViT model, respectively, 97.14% and 99.99%, is more effective than several existing typical models.",https://api.crossref.org/works/10.3390%2Felectronics13142685,retrieved_crossref_metadata,,,"The record proposes or compares a NIDS model on benchmark data, but the title and abstract do not report cross-dataset or domain-shift evaluation, a defined open-set or unseen-attack protocol, calibration or uncertainty assessment, or a concrete deployment-adaptation test.",KLL,exclude_at_title_abstract,no_deployment_relevance,KLL confirmed the advisory recommendation.,not_assigned,,,exclude_at_title_abstract,no_deployment_relevance
TA004,SL008,10,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,Pawlicki Marek; Szelest Sebastian; Kozik Rafal; Choraś Michał,2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,proceedings-article,International Conference on Availability Reliability and Security,"The wide adoption of supervised-learning–based network intrusion detection systems is hindered by their reliance on labelled traffic, which is costly to obtain in real-world scenarios. In this work, five unsupervised domain adaptation methods are evaluated in an attempt to alleviate this problem. First, the severity of source-target divergence is quantified on two benchmark datasets(CICIDS2018 and UNSW-NB15 netflow datasets) using Maximum Mean Discrepancy, per-feature Wasserstein distances, and Kolmogorov–Smirnov tests. Next, a common neural-network backbone is trained on the source, and each DA method is used to attempt to bridge the source - target domain gap. Finally, SHAP is used to compare feature-importance patterns before and after adaptation, to assess the DA effect on model decision logic. The results demonstrate that conventional DA methods fail to deliver robust cross-domain NIDS.",https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18?error=cookies_not_supported&code=f62aea5a-4147-44b2-b820-287ca8cacf32,retrieved_source_webpage_metadata,DRG010,GS005,Advance because the title and abstract provide an explicit deployment-front signal recorded in agent_eligibility_signals. Eligibility and evidence quality still require full-text confirmation.,KSS,not_assigned,,,include_for_full_text,,KSS confirmed the advisory recommendation.,include_for_full_text,
TA005,SD002,2,AIS-NIDS: An intelligent and self-sustaining network intrusion detection system,Yasir Ali Farrukh; Syed Wali; Irfan Khan; Nathaniel D. Bastian,2024,10.1016/j.cose.2024.103982,https://www.sciencedirect.com/science/article/pii/S0167404824002876,journal-article,Computers & Security,"The ever-evolving landscape of network security is continually molded by the dynamic evolution of attack vectors and the relentless emergence of new, highly sophisticated attacks. Attackers consistently employ increasingly advanced techniques, rendering their actions elusive and formidable. In response to this ever-growing threat, the demand for intelligent and autonomous security systems has reached paramount importance. In this paper, we introduce AIS-NIDS (An Intelligent and Self-Sustaining Network Intrusion Detection System), an innovative network intrusion detection system (NIDS) that delves into the realm of packet-level analysis. By doing so, AIS-NIDS is capable of identifying threats with intricate payload-level details, a level of granularity that traditional NIDS relying solely on flow-level data may overlook. The defining feature of AIS-NIDS is its dual functionality, driven by autonomous and intelligent learning. It not only autonomously distinguishes between benign and unknown attacks using machine learning models but also conducts incremental learning, adapting to new attack classes. In essence, AIS-NIDS bridges the gap between traditional NIDS and the next generation of intelligent systems, endowing the system with the capacity for independent decision-making and real-time adaptability in the face of evolving threats. Our extensive experiments stand as a testament to AIS-NIDS’ ability to efficiently manage and identify new attack classes, thus establishing it as a valuable asset in the reinforcement of network infrastructures. Through our experimentation, we have demonstrated the practical efficacy of the proposed approach by simulating a real-world scenario in which certain attack classes are unknown. AIS-NIDS not only effectively identified these unknown threats but also autonomously learned to recognize them as it encountered them, enhancing the system’s capabilities for future encounters with these threats.",https://www.sciencedirect.com/science/article/pii/S0167404824002876,retrieved_source_page,,,Advance because the title and abstract provide an explicit deployment-front signal recorded in agent_eligibility_signals. Eligibility and evidence quality still require full-text confirmation.,KLL,include_for_full_text,,KLL confirmed the advisory recommendation.,not_assigned,,,include_for_full_text,
TA006,GS094,96,Current status and challenges and future trends of deep learning -based intrusion detection models,"Y Wu, B Zou, Y Cao",2024,,https://www.mdpi.com/2313-433X/10/10/254,journal-article,Journal of Imaging,"With the advancement of deep learning (DL) technology, DL-based intrusion detection models have emerged as a focal point of research within the domain of cybersecurity. This paper provides an overview of the datasets frequently utilized in the research. This article presents an overview of the widely utilized datasets in the research, establishing a basis for future investigation and analysis. The text subsequently summarizes the prevalent data preprocessing methods and feature engineering techniques utilized in intrusion detection. Following this, it provides a review of seven deep learning-based intrusion detection models, namely, deep autoencoders, deep belief networks, deep neural networks, convolutional neural networks, recurrent neural networks, generative adversarial networks, and transformers. Each model is examined from various dimensions, highlighting their unique architectures and applications within the context of cybersecurity. Furthermore, this paper broadens its scope to include intrusion detection techniques facilitated by the following two large-scale predictive models: the BERT series and the GPT series. These models, leveraging the power of transformers and attention mechanisms, have demonstrated remarkable capabilities in understanding and processing sequential data. In light of these findings, this paper concludes with a prospective outlook on future research directions. Four key areas have been identified for further research. By addressing these issues and advancing research in the aforementioned areas, this paper envisions a future in which DL-based intrusion detection systems are not only more accurate and efficient but also better aligned with the dynamic and evolving landscape of cybersecurity threats.",https://openalex.org/W4403389808,retrieved_openalex_metadata,,,"This is a review, survey, or broad context article rather than an eligible primary empirical study. It may be considered separately for background.",KSS,not_assigned,,,exclude_at_title_abstract,review_or_context_only,KSS confirmed the advisory recommendation.,exclude_at_title_abstract,review_or_context_only
TA007,SD007,7,Exploring Graph Neural Networks for Robust Network Intrusion Detection,Sarika Saxena; Jyoti Grover; Sunita Singhal,2025,10.1016/j.procs.2025.04.618,https://www.sciencedirect.com/science/article/pii/S1877050925017223,journal-article,Procedia Computer Science,"The importance of network security has increased due to the rise in cyberattacks. NDSs, or network intrusion detection systems, are essential for keeping an eye on network activity and spotting possible threats. AI-based solutions are still not commonly used in corporate network environments, despite a lot of research being done on the use of Deep Learning (DL) and Machine Learning (ML) for intrusion detection. In this work, the application of graph neural networks (GNNs) to network intrusion detection is investigated. Network traffic may be represented as a graph with devices as nodes and connections as edges. This makes GNNs an excellent tool for improving network security because they are well-suited for evaluating graph-structured data. The analysis of individual samples by conventional machine learning-based intrusion detection systems (IDSs) might result in the omission of network dependencies, erroneous predictions, and an increase in false alarms. We suggest an Intrusion Detection System (GNN-IDS) based on GNNs to address these issues. This system combines real-time data monitoring with an attack graph to capture both static and dynamic network features. The GNN acts as the core component, analyzing the importance of nearby nodes and their features to make accurate predictions. By incorporating an attack graph, GNN-IDS not only detects anomalies but also identifies the specific malicious activities causing them. Our experimental results using the CIC-IOT-2023 dataset show that GNN-IDS is highly effective, capable of handling uncertainty, providing clear explanations, and demonstrating robustness, highlighting its potential to improve network security significantly.",https://openalex.org/W4410252980,retrieved_openalex_metadata,,,"The abstract uses broad robustness and uncertainty language, but reports only a CIC-IoT-2023 model evaluation and no distinct deployment-front protocol.",KLL,exclude_at_title_abstract,no_deployment_relevance,KLL confirmed the advisory recommendation.,not_assigned,,,exclude_at_title_abstract,no_deployment_relevance
TA008,GS010,10,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering …,"Network Intrusion Detection Systems (NIDS) are vital in safeguarding computer networks from cyber threats. However, designing an effective NIDS configuration involves optimizing multiple objectives, often leading to suboptimal solutions. This paper presents an innovative approach combining two powerful optimization methods, the Whale Optimization Algorithm (WOA) and Simulated Annealing (SA), for feature selection for NIDS. Our proposed WOA-SA methodology aims to achieve superior results by balancing global exploration and local improvement capabilities. Additionally, Deep Learning (DL) techniques are integrated to enhance feature extraction and classification accuracy for zero-day and new types of attacks with optimal DL models. This paper provides a detailed exposition of WOA-SA for feature selection and its practical application to NIDS optimization. This paper aims to achieve the maximum detection rate for zero-day attacks while reducing the false alarm rate (FAR) and reducing computational complexity. The comprehensive analysis of DL different approaches such as Long Short-term Memory, Convolutional Neural Networks, Recurrent Neural Networks, and Deep Neural Networks was carried out on the original and optimal feature set of the BOT-IOT 2020 dataset. From WOA-SA the feature set was reduced to 13 from 79, these 13 selected feature set performances were tested using the DL approach. Experimental results show that model accuracy improved with optimal features, it was improved to 2.2% and also reduced in FAR of the model to 10%, to show how well the optimal feature-based NIDS model performs in comparison to other well-known DL approaches. The proposed method also shows reduced computational complexity due to a reduced number of features. On the whole, our proposed design outperforms the current approach in terms of computational complexity, zero-day attack detection, accuracy, and FAR.",https://www.researchgate.net/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION,retrieved_source_webpage,DRG013,GS015,Advance because the title and abstract provide an explicit deployment-front signal recorded in agent_eligibility_signals. Eligibility and evidence quality still require full-text confirmation.,KSS,not_assigned,,,include_for_full_text,,KSS confirmed the advisory recommendation.,include_for_full_text,
TA009,SD016,,TriHID: Towards verifiable domain adaptation-based IoT intrusion detection in heterogeneous environment,"Wu, Jiashu and Wang, Yang",2026,10.1016/j.eswa.2025.129543,https://doi.org/10.1016/j.eswa.2025.129543,journal-article,Expert Systems with Applications,"With the widespread deployment of IoT devices in daily applications, securing them against intrusions has become increasingly critical. Domain adaptation (DA)-based intrusion detection is a promising approach that transfers knowledge from a source domain to improve detection in a target IoT domain. However, effective DA methods must address various types of domain heterogeneity - such as differences in feature representation, intrusion distribution, and attack strategies. Existing intrusion detection datasets rarely consider these aspects, limiting their utility for evaluating heterogeneous DA approaches. To bridge this gap, we introduce TriHID, a new dataset specifically designed to capture heterogeneities from three perspectives. We evaluate four types of DA-based IoT intrusion detectors - multi-source, semi-supervised, unsupervised, and open-set on TriHID. Experimental results demonstrate that TriHID enables robust training and comprehensive evaluation of DA-based intrusion detection methods in heterogeneous IoT settings.",local:paper_text/R12.txt,retrieved_local_full_text_explicit_abstract_marker,,,Advance because the title and abstract provide an explicit deployment-front signal recorded in agent_eligibility_signals. Eligibility and evidence quality still require full-text confirmation.,KLL,include_for_full_text,,KLL confirmed the advisory recommendation.,not_assigned,,,include_for_full_text,
TA010,SL007,9,HEN: a novel hybrid explainable neural network based framework for robust network intrusion detection,Wei Wei; Chen Sijin; Chen Cen; Wang Heshi; Liu Jing; Cheng Zhongyao; Zou Xiaofeng,2024,10.1007/s11432-023-4067-x,https://link.springer.com/article/10.1007/s11432-023-4067-x,journal-article,Science China Information Sciences,"With the rapid development of network technology and the automation process for 5G, cyber-attacks have become increasingly complex and threatening. In response to these threats, researchers have developed various network intrusion detection systems (NIDS) to monitor network traffic. However, the incessant emergence of new attack techniques and the lack of system interpretability pose challenges to improving the detection performance of NIDS. To address these issues, this paper proposes a hybrid explainable neural network-based framework that improves both the interpretability of our model and the performance in detecting new attacks through the innovative application of the explainable artificial intelligence (XAI) method. We effectively introduce the Shapley additive explanations (SHAP) method to explain a light gradient boosting machine (LightGBM) model. Additionally, we propose an autoencoder long-term short-term memory (AE-LSTM) network to reconstruct SHAP values previously generated. Furthermore, we define a threshold based on reconstruction errors observed during the training phase. Any network flow that surpasses the specified threshold is classified as an attack flow. This approach enhances the framework’s ability to accurately identify attacks. We achieve an accuracy of 92.65%, a recall of 95.26%, a precision of 92.57%, and an F1-score of 93.90% on the dataset NSL-KDD. Experimental results demonstrate that our approach generates detection performance on par with state-of-the-art methods.",https://link.springer.com/article/10.1007/s11432-023-4067-x?error=cookies_not_supported&code=6fde0ce3-581c-45e5-83ce-be7994b1945d,retrieved_source_webpage_metadata,,,Advance because the title and abstract provide an explicit deployment-front signal recorded in agent_eligibility_signals. Eligibility and evidence quality still require full-text confirmation.,KSS,not_assigned,,,include_for_full_text,,KSS confirmed the advisory recommendation.,include_for_full_text,
